Barcode	Total	Primer 1	Primer 2
R05_C12W1_1	4	2	2
R05_C12W1_2	6	3	3
P21502_101_C12W1_1*	1959	815	1144
P21502_101_C12W1_2	1266	546	720
P21502_102_C12W1_1	381	176	205
P21502_102_C12W1_2	417	180	237
P21502_103_C12W1_1	19	7	12
P21502_103_C12W1_2**	83	35	48
P21502_104_C12W1_1	37	18	19
P21502_104_C12W1_2	20	7	13
P21502_105_C12W1_1	258	94	164
P21502_105_C12W1_2	270	111	159
P21502_106_C12W1_1	115	43	72
P21502_106_C12W1_2	62	31	31
P21502_108_C12W1_1*	77	25	52
P21502_108_C12W1_2	31	10	21
P21502_109_C12W1_1	113	56	57
P21502_109_C12W1_2	70	28	42
P21502_111_C12W1_1	193	83	110
P21502_111_C12W1_2	168	67	101
P21502_112_C12W1_1	110	48	62
P21502_112_C12W1_2**	83	35	48
P21502_113_C12W1_1	103	36	67
P21502_113_C12W1_2	49	21	28
P21502_114_C12W1_1	58	24	34
P21502_114_C12W1_2	58	30	28
P21502_116_C12W1_1*	81	27	54
P21502_116_C12W1_2	27	11	16
P21502_117_C12W1_1	39	15	24
P21502_117_C12W1_2	39	12	27
P21502_118_C12W1_1	374	149	225
P21502_118_C12W1_2	393	161	232
P21502_119_C12W1_1	51	15	36
P21502_119_C12W1_2	69	28	41
P21502_119_C12W1_3	56	27	29
P21502_120_C12W1_1	41	17	24
P21502_120_C12W1_2	22	10	12
P21502_121_C12W1_1	25	9	16
P21502_121_C12W1_2**	4734	1935	2799
P21502_122_C12W1_1	108	54	54
P21502_122_C12W1_2	95	32	63
P21502_123_C12W1_1	37	17	20
P21502_123_C12W1_2	50	20	30
P21502_124_C12W1_1	617	275	342
P21502_124_C12W1_2	158	60	98
P21502_125_C12W1_1	628	258	370
P21502_125_C12W1_2	465	205	260
P21502_126_C12W1_1	24	11	13
P21502_126_C12W1_2	32	12	20
P21502_127_C12W1_1*	1962	858	1104
P21502_127_C12W1_2	36	8	28
P21502_128_C12W1_1	70	33	37
P21502_128_C12W1_2	86	32	54
P21502_107_C12W1_1*	1959	815	1144
P21502_107_C12W1_2	530	217	313
P21502_110_C12W1_1	577	254	323
P21502_110_C12W1_2**	4734	1935	2799
P21502_129_C12W1_1	91	40	51
P21502_129_C12W1_2	141	57	84
P21502_130_C12W1_1	492	215	277
P21502_130_C12W1_2	109	49	60
P21502_131_C12W1_1	53	20	33
P21502_131_C12W1_2	41	17	24
P21502_132_C12W1_1	153	73	80
P21502_132_C12W1_2	71	28	43
P21502_133_C12W1_1	41	12	29
P21502_133_C12W1_2	26	13	13
P21502_134_C12W1_1	98	39	59
P21502_134_C12W1_2	28	12	16
P21502_135_C12W1_1	206	92	114
P21502_135_C12W1_2	237	88	149
P21502_136_C12W1_1	21	8	13
P21502_136_C12W1_2**	83	35	48
P21502_137_C12W1_1	421	176	245
P21502_137_C12W1_2	370	141	229
P21502_138_C12W1_1	85	29	56
P21502_138_C12W1_2	80	40	40
P21502_139_C12W1_1	150	66	84
P21502_139_C12W1_2	103	44	59
P21502_140_C12W1_1	1531	634	897
P21502_140_C12W1_2	1204	546	658
P21502_141_C12W1_1	107	38	69
P21502_141_C12W1_2	132	50	82
P21502_141_C12W1_3	161	68	93
P21502_142_C12W1_1	1876	868	1008
P21502_142_C12W1_2*	1962	858	1104
P21502_143_C12W1_1	40	19	21
P21502_143_C12W1_2	77	29	48
P21502_144_C12W1_1	45	17	28
P21502_144_C12W1_2	52	26	26
P21502_145_C12W1_1	81	29	52
P21502_145_C12W1_2*	81	27	54
P21502_146_C12W1_1	48	20	28
P21502_146_C12W1_2	43	15	28
P21502_147_C12W1_1*	77	25	52
P21502_147_C12W1_2	16	6	10
P21502_148_C12W1_1	565	234	331
P21502_148_C12W1_2	365	150	215
P21502_149_C12W1_1	50	26	24
P21502_149_C12W1_2	30	14	16
P21502_150_C12W1_1	53	22	31
P21502_150_C12W1_2	45	20	25
P21502_151_C12W1_1	553	215	338
P21502_151_C12W1_2	717	279	438
P21502_152_C12W1_1**	4734	1935	2799
P21502_152_C12W1_2	2710	1072	1638
P21502_153_C12W1_1	27	16	11
P21502_153_C12W1_2	21	8	13
P21502_154_C12W1_1	11	5	6
P21502_154_C12W1_2	12	8	4
P21502_155_C12W1_1	18	7	11
P21502_155_C12W1_2	8	2	6
P21502_156_C12W1_1	178	66	112
P21502_156_C12W1_2	95	36	59
Unknown1_VGx_C12W1_1	233	90	143
Unknown1_VGx_C12W1_2	159	66	93
Unknown1_VGy_C12W1_1	12	5	7
Unknown1_VGy_C12W1_2	14	8	6
