Barcode	Total	Primer 1	Primer 2
R05_C12W1_1	0	0	0
R05_C12W1_2	0	0	0
P21502_101_C12W1_1*	0	0	0
P21502_101_C12W1_2	2	1	1
P21502_102_C12W1_1	0	0	0
P21502_102_C12W1_2	0	0	0
P21502_103_C12W1_1	0	0	0
P21502_103_C12W1_2**	79	30	49
P21502_104_C12W1_1	0	0	0
P21502_104_C12W1_2	0	0	0
P21502_105_C12W1_1	0	0	0
P21502_105_C12W1_2	0	0	0
P21502_106_C12W1_1	0	0	0
P21502_106_C12W1_2	0	0	0
P21502_108_C12W1_1*	91	25	66
P21502_108_C12W1_2	1	0	1
P21502_109_C12W1_1	0	0	0
P21502_109_C12W1_2	0	0	0
P21502_111_C12W1_1	1	1	0
P21502_111_C12W1_2	0	0	0
P21502_112_C12W1_1	0	0	0
P21502_112_C12W1_2**	79	30	49
P21502_113_C12W1_1	0	0	0
P21502_113_C12W1_2	0	0	0
P21502_114_C12W1_1	1	0	1
P21502_114_C12W1_2	0	0	0
P21502_116_C12W1_1*	116	50	66
P21502_116_C12W1_2	0	0	0
P21502_117_C12W1_1	0	0	0
P21502_117_C12W1_2	0	0	0
P21502_118_C12W1_1	0	0	0
P21502_118_C12W1_2	0	0	0
P21502_119_C12W1_1	0	0	0
P21502_119_C12W1_2	2	1	1
P21502_119_C12W1_3	0	0	0
P21502_120_C12W1_1	0	0	0
P21502_120_C12W1_2	0	0	0
P21502_121_C12W1_1	0	0	0
P21502_121_C12W1_2**	75	42	33
P21502_122_C12W1_1	0	0	0
P21502_122_C12W1_2	0	0	0
P21502_123_C12W1_1	0	0	0
P21502_123_C12W1_2	0	0	0
P21502_124_C12W1_1	0	0	0
P21502_124_C12W1_2	2	0	2
P21502_125_C12W1_1	0	0	0
P21502_125_C12W1_2	0	0	0
P21502_126_C12W1_1	0	0	0
P21502_126_C12W1_2	0	0	0
P21502_127_C12W1_1*	268	104	164
P21502_127_C12W1_2	0	0	0
P21502_128_C12W1_1	0	0	0
P21502_128_C12W1_2	0	0	0
P21502_107_C12W1_1*	0	0	0
P21502_107_C12W1_2	0	0	0
P21502_110_C12W1_1	0	0	0
P21502_110_C12W1_2**	75	42	33
P21502_129_C12W1_1	199	94	105
P21502_129_C12W1_2	235	107	128
P21502_130_C12W1_1	644	271	373
P21502_130_C12W1_2	195	84	111
P21502_131_C12W1_1	65	23	42
P21502_131_C12W1_2	81	35	46
P21502_132_C12W1_1	193	71	122
P21502_132_C12W1_2	33	10	23
P21502_133_C12W1_1	87	31	56
P21502_133_C12W1_2	61	23	38
P21502_134_C12W1_1	267	108	159
P21502_134_C12W1_2	50	24	26
P21502_135_C12W1_1	106	36	70
P21502_135_C12W1_2	98	35	63
P21502_136_C12W1_1	70	38	32
P21502_136_C12W1_2**	79	30	49
P21502_137_C12W1_1	307	129	178
P21502_137_C12W1_2	290	126	164
P21502_138_C12W1_1	114	47	67
P21502_138_C12W1_2	43	21	22
P21502_139_C12W1_1	158	72	86
P21502_139_C12W1_2	112	43	69
P21502_140_C12W1_1	120	40	80
P21502_140_C12W1_2	116	48	68
P21502_141_C12W1_1	100	41	59
P21502_141_C12W1_2	100	47	53
P21502_141_C12W1_3	136	56	80
P21502_142_C12W1_1	286	119	167
P21502_142_C12W1_2*	268	104	164
P21502_143_C12W1_1	145	57	88
P21502_143_C12W1_2	111	32	79
P21502_144_C12W1_1	85	32	53
P21502_144_C12W1_2	96	39	57
P21502_145_C12W1_1	164	79	85
P21502_145_C12W1_2*	116	50	66
P21502_146_C12W1_1	171	69	102
P21502_146_C12W1_2	152	61	91
P21502_147_C12W1_1*	91	25	66
P21502_147_C12W1_2	71	26	45
P21502_148_C12W1_1	984	390	594
P21502_148_C12W1_2	728	319	409
P21502_149_C12W1_1	190	75	115
P21502_149_C12W1_2	99	34	65
P21502_150_C12W1_1	182	80	102
P21502_150_C12W1_2	147	59	88
P21502_151_C12W1_1	71	33	38
P21502_151_C12W1_2	68	34	34
P21502_152_C12W1_1**	75	42	33
P21502_152_C12W1_2	43	25	18
P21502_153_C12W1_1	220	93	127
P21502_153_C12W1_2	186	81	105
P21502_154_C12W1_1	73	32	41
P21502_154_C12W1_2	33	10	23
P21502_155_C12W1_1	65	26	39
P21502_155_C12W1_2	56	20	36
P21502_156_C12W1_1	157	65	92
P21502_156_C12W1_2	60	26	34
Unknown1_VGx_C12W1_1	84	35	49
Unknown1_VGx_C12W1_2	70	30	40
Unknown1_VGy_C12W1_1	61	24	37
Unknown1_VGy_C12W1_2	59	27	32
