ID	Raw Reads	>=Q30(%)
P21502_101	143	72.72
P21502_102	6414	78.05
P21502_103	36394	68.36
P21502_104	780	68.76
P21502_105	4565	70.74
P21502_106	0	0
P21502_107	655	78.49
P21502_108	30586	76.79
P21502_109	46337	70.13
P21502_110	76595	75.2
P21502_111	23389	78.74
P21502_112	24629	76.31
P21502_113	10365	72.62
P21502_114	31821	69.92
P21502_115	41871	77.31
P21502_116	25393	71.55
P21502_117	26287	66.46
P21502_118	34307	76.04
P21502_119	1987	43.18
P21502_120	41770	76.8
P21502_121	29115	77.76
P21502_122	31466	71.21
P21502_123	41713	77.82
P21502_124	32633	66.66
P21502_125	51720	74.68
P21502_126	36746	75.32
P21502_127	52172	77.57
P21502_128	35561	75.69
P21502_129	29112	76.21
P21502_130	19589	76.52
P21502_131	32876	74.32
P21502_132	28531	76.52
P21502_133	55539	73.99
P21502_134	38455	76
P21502_135	87002	78.07
P21502_136	25714	77.23
P21502_137	38816	78.01
P21502_138	29243	76.34
P21502_139	36064	77.14
P21502_140	14935	77.93
P21502_141	55349	66.67
P21502_142	22935	73.44
P21502_143	100971	78.96
P21502_144	78375	77.68
P21502_145	24206	77.65
P21502_146	80490	77.97
P21502_147	65663	74.88
P21502_148	33257	77.46
P21502_149	60663	72.8
P21502_150	43265	63.05
P21502_151	66136	76.13
P21502_152	21647	67.67
P21502_153	33696	77.95
P21502_154	51960	74.21
P21502_155	32033	75.37
P21502_156	28856	75.32
P21502_157	44765	75.65
P21502_158	25076	71.44
P21502_159	92261	76.64
P21502_160	38780	76.29
P21502_161	31031	75.52
P21502_162	20330	73.53
P21502_163	207817	75.86
P21502_164	30532	70.35
P21502_165	13253	68.18
P21502_166	10358	71.47
P21502_201	2026167	39.13
P21502_202	0	0
P21502_203	80602	43.79
P21502_204	171188	35.06
P21502_205	0	0
P21502_206	70007	79.35
P21502_207	87442	73.68
P21502_208	113261	61.59
P21502_209	111313	68.54
P21502_210	114549	51.7
P21502_211	1	81.56
P21502_212	133186	60.5
P21502_213	1	88.21
P21502_214	98852	80.38
P21502_215	1	82.23
P21502_216	77368	75.96
P21502_217	1	76.41
P21502_218	101511	76.48
P21502_219	97422	68.72
P21502_220	1	79.57
P21502_221	121137	82.43
P21502_222	95121	73.35
P21502_223	75346	79.32
P21502_224	173	65.68
P21502_225	81764	72.47
P21502_226	119018	57.56
P21502_227	124568	62.49
P21502_228	94012	62.7
P21502_229	76346	74.99
P21502_230	89464	68.5
P21502_231	153481	43.93
P21502_232	0	0
P21502_233	69886	74.92
P21502_234	1	74.58
P21502_235	118829	58.13
P21502_236	75747	75.01
P21502_237	160210	43.16
P21502_238	269	49.43
P21502_239	71148	69.44
P21502_240	64687	69.38
P21502_241	254532	44.56
P21502_242	149010	49.49
P21502_243	91994	78.01
P21502_244	85321	68.86
P21502_245	64646	67.96
P21502_246	68720	74.52
P21502_247	0	0
		
P21502_249	0	0
P21502_250	81927	80.54
P21502_251	72298	80.19
P21502_252	78278	78.78
P21502_253	0	0
P21502_254	0	0
P21502_255	0	0
P21502_256	175833	80.48
P21502_257	309861	80.16
P21502_258	81923	79.82
P21502_259	77053	79.36
P21502_260	88264	80.37
P21502_261	296623	80.63
P21502_262	286805	80.23
P21502_263	219986	81.21
P21502_264	236990	79.15
P21502_265	187921	81.46
P21502_266	279876	79.79
P21502_267	68828	79.67
P21502_268	304639	80.97
P21502_269	83358	81.34
P21502_270	97422	80.41
P21502_271	221348	80.62
P21502_272	92918	79.22
P21502_273	70166	80.93
P21502_274	76116	80
P21502_275	257291	80.57
P21502_276	886	77.07
P21502_277	386547	75.98
P21502_278	80577	76.87
P21502_279	82822	75.18
P21502_280	88274	80.58
P21502_281	310845	78.59
P21502_282	74790	78.68
P21502_283	66408	79.18
P21502_284	87836	81.18
P21502_285	119088	78.36
P21502_286	239238	80.79
P21502_287	87244	77.97
P21502_288	83254	79.42
P21502_289	339168	80.04
P21502_290	124000	78.22
P21502_291	311596	80.59
P21502_292	379319	77.95
P21502_293	260064	79.65
P21502_294	349125	81.1
P21502_295	91599	81.19
