"ID"	"All_allels_total"	"Hits"	"Unknown"	"Fraction"	"Total"	"Raw.Reads"	"X..Q30..."	"Fraction2"	"NonUniqe_Fraction"
"P21502_101"	7	7	7	0.5	14	143	72.72	0.048951048951049	0
"P21502_102"	366	366	253	0.591276252019386	619	6414	78.05	0.0570626753975678	0
"P21502_103"	1459	1459	926	0.611740041928721	2385	36394	68.36	0.0400890256635709	0
"P21502_104"	21	21	24	0.466666666666667	45	780	68.76	0.0269230769230769	0
"P21502_105"	242	242	241	0.501035196687371	483	4565	70.74	0.0530120481927711	0
"P21502_107"	42	42	31	0.575342465753425	73	655	78.49	0.0641221374045802	0
"P21502_108"	1390	1390	1022	0.576285240464345	2412	30586	76.79	0.0454456287190218	0
"P21502_109"	2064	2064	1446	0.588034188034188	3510	46337	70.13	0.0445432375855148	0
"P21502_110"	3806	3806	2622	0.592097075295582	6428	76595	75.2	0.0496899275409622	0
"P21502_111"	1649	1649	1066	0.607366482504604	2715	23389	78.74	0.0705032280131686	0
"P21502_112"	1045	1045	817	0.561224489795918	1862	24629	76.31	0.0424296560964716	0
"P21502_113"	273	273	178	0.605321507760532	451	10365	72.62	0.0263386396526773	0
"P21502_114"	850	850	745	0.532915360501567	1595	31821	69.92	0.026711919801389	0
"P21502_115"	2131	2131	1375	0.60781517398745	3506	41871	77.31	0.0508944137947505	0
"P21502_116"	463	463	497	0.482291666666667	960	25393	71.55	0.0182333714015674	0
"P21502_117"	1307	1307	1009	0.56433506044905	2316	26287	66.46	0.0497203941111576	0
"P21502_118"	1779	1779	1091	0.6198606271777	2870	34307	76.04	0.0518553064972163	0
"P21502_119"	7	7	9	0.4375	16	1987	43.18	0.00352289884247609	0
"P21502_120"	1043	1043	1069	0.493844696969697	2112	41770	76.8	0.0249700742159445	0
"P21502_121"	1147	1147	841	0.576961770623742	1988	29115	77.76	0.0393955006010647	0
"P21502_122"	1826	1826	1514	0.546706586826347	3340	31466	71.21	0.0580308904849679	0
"P21502_123"	2512	2512	1820	0.579870729455217	4332	41713	77.82	0.0602210342099585	0
"P21502_124"	1383	1383	857	0.617410714285714	2240	32633	66.66	0.0423804124659087	0
"P21502_125"	2362	2362	1612	0.594363361852038	3974	51720	74.68	0.0456689868522815	0
"P21502_126"	2073	2073	1678	0.552652625966409	3751	36746	75.32	0.0564143035976705	0
"P21502_127"	2410	2410	1902	0.558905380333952	4312	52172	77.57	0.0461933604232155	0
"P21502_128"	1629	1629	1112	0.594308646479387	2741	35561	75.69	0.0458086105565085	0
"P21502_129"	1313	1313	872	0.60091533180778	2185	29112	76.21	0.0451016762846936	0
"P21502_130"	1503	1503	978	0.605804111245466	2481	19589	76.52	0.0767267343917505	0
"P21502_131"	1414	1414	1082	0.56650641025641	2496	32876	74.32	0.0430100985521353	0
"P21502_132"	1307	1307	958	0.577041942604857	2265	28531	76.52	0.0458098208965686	0
"P21502_133"	2799	2799	1977	0.58605527638191	4776	55539	73.99	0.0503970183114568	0
"P21502_134"	2000	2000	1280	0.609756097560976	3280	38455	76	0.0520088415030555	0
"P21502_135"	5374	5374	3708	0.591719885487778	9082	87002	78.07	0.0617686949725294	0
"P21502_136"	1226	1226	794	0.606930693069307	2020	25714	77.23	0.0476783075367504	0
"P21502_137"	1965	1965	1620	0.548117154811716	3585	38816	78.01	0.0506234542456719	0
"P21502_138"	2362	2362	1871	0.557996692652965	4233	29243	76.34	0.0807714666757857	0
"P21502_139"	1122	1122	1020	0.523809523809524	2142	36064	77.14	0.0311113575865129	0
"P21502_140"	652	652	618	0.513385826771654	1270	14935	77.93	0.0436558419819217	0
"P21502_141"	1858	1858	1674	0.526047565118913	3532	55349	66.67	0.0335688088312345	0
"P21502_142"	947	947	806	0.540216771249287	1753	22935	73.44	0.0412906038805319	0
"P21502_143"	5214	5214	3641	0.588819875776397	8855	100971	78.96	0.0516385892979172	0
"P21502_144"	4392	4392	3755	0.53909414508408	8147	78375	77.68	0.0560382775119617	0
"P21502_145"	1180	1180	816	0.591182364729459	1996	24206	77.65	0.048748244236966	0
"P21502_146"	4467	4467	3845	0.537415784408085	8312	80490	77.97	0.0554975773387998	0
"P21502_147"	2246	2246	1942	0.53629417382999	4188	65663	74.88	0.0342049556066582	0
"P21502_148"	1380	1380	1060	0.565573770491803	2440	33257	77.46	0.0414950236040533	0
"P21502_149"	3884	3884	2931	0.569919295671313	6815	60663	72.8	0.0640258477160708	0
"P21502_150"	1394	1394	819	0.62991414369634	2213	43265	63.05	0.0322200392927308	0
"P21502_151"	3262	3262	2135	0.604409857328145	5397	66136	76.13	0.0493226079593565	0
"P21502_152"	809	809	722	0.528412802090137	1531	21647	67.67	0.0373723841640874	0
"P21502_153"	1919	1919	1510	0.559638378536016	3429	33696	77.95	0.0569503798670465	0
"P21502_154"	3018	3018	2290	0.568575734740015	5308	51960	74.21	0.0580831408775982	0
"P21502_155"	1840	1840	1209	0.603476549688422	3049	32033	75.37	0.0574407642119065	0
"P21502_156"	1254	1254	914	0.578413284132841	2168	28856	75.32	0.0434571666204602	0
"P21502_157"	2099	2099	2330	0.473921878527884	4429	44765	75.65	0.0468893108455266	0
"P21502_158"	1668	1668	1300	0.56199460916442	2968	25076	71.44	0.0665177859307705	0
"P21502_159"	3131	3131	2170	0.590643274853801	5301	92261	76.64	0.0339363327950055	0
"P21502_160"	1929	1929	1509	0.56108202443281	3438	38780	76.29	0.0497421351211965	0
"P21502_161"	1121	1121	809	0.580829015544041	1930	31031	75.52	0.0361251651574232	0
"P21502_162"	2130	2130	1297	0.621534870148818	3427	20330	73.53	0.104771273979341	0
"P21502_163"	7715	7715	7119	0.52008898476473	14834	207817	75.86	0.0371240081417786	0
"P21502_164"	1862	1862	1116	0.625251846877099	2978	30532	70.35	0.0609851958600812	0
"P21502_250"	10015	9185	8429	0.521460202111956	17614	81927	80.54	0.112112002148254	0.0828756864702946
"P21502_251"	9249	8614	5972	0.590566296448649	14586	72298	80.19	0.119145757835625	0.0686560709265867
"P21502_252"	7696	7015	5584	0.556790221446147	12599	78278	78.78	0.0896164950560822	0.088487525987526
"P21502_256"	17846	16753	16119	0.509643465563397	32872	175833	80.48	0.0952779057401057	0.0612462176398072
"P21502_257"	29752	23185	29651	0.438810659398895	52836	309861	80.16	0.0748238726396675	0.220724657165905
"P21502_258"	8430	7017	6250	0.528906308886711	13267	81923	79.82	0.0856536015526775	0.167615658362989
"P21502_259"	6052	5038	5705	0.46895652983338	10743	77053	79.36	0.0653835671550751	0.167547918043622
"P21502_260"	9753	6828	7364	0.481116121758737	14192	88264	80.37	0.0773588325931297	0.299907720701323
"P21502_261"	39134	30027	22428	0.572433514440949	52455	296623	80.63	0.101229506815048	0.232713241682424
"P21502_262"	27264	27240	25527	0.516231735743931	52767	286805	80.23	0.0949774236850822	0.000880281690140845
"P21502_263"	24853	24832	21919	0.53115441380933	46751	219986	81.21	0.112879910539762	0.000844968414275943
"P21502_264"	17981	17975	14688	0.550316872301993	32663	236990	79.15	0.0758470821553652	0.000333685556976809
"P21502_265"	24122	24115	20543	0.539992834430561	44658	187921	81.46	0.128325200483182	0.000290191526407429
"P21502_266"	28229	28132	18761	0.599918964450984	46893	279876	79.79	0.100515942774657	0.00343618264904885
"P21502_267"	6649	6627	4900	0.574911078337816	11527	68828	79.67	0.0962834892776196	0.00330876823582494
"P21502_268"	37702	37598	26192	0.589402727700266	63790	304639	80.97	0.123418209749901	0.00275847435149329
"P21502_269"	11415	10836	8304	0.566144200626959	19140	83358	81.34	0.129993521917512	0.0507227332457293
"P21502_270"	10830	10829	7733	0.583396185755845	18562	97422	80.41	0.111155591139578	9.23361034164358e-05
"P21502_271"	20883	20883	18935	0.524461298910041	39818	221348	80.62	0.0943446518604189	0
"P21502_272"	12691	12691	7451	0.630076457154205	20142	92918	79.22	0.136582793430767	0
"P21502_273"	10120	10120	5891	0.632065454999688	16011	70166	80.93	0.144229398854146	0
"P21502_274"	9535	9535	5553	0.631959172852598	15088	76116	80	0.125269325765936	0
"P21502_275"	32934	32934	19843	0.624021827690092	52777	257291	80.57	0.12800292276061	0
"P21502_276"	57	57	39	0.59375	96	886	77.07	0.064334085778781	0
"P21502_277"	27810	27810	15157	0.647240905811437	42967	386547	75.98	0.0719446794309618	0
"P21502_278"	7710	7710	4241	0.645134298385072	11951	80577	76.87	0.0956848728545367	0
"P21502_279"	7767	7767	4324	0.642378628732115	12091	82822	75.18	0.0937794305860762	0
"P21502_280"	12671	12671	6810	0.650428622760639	19481	88274	80.58	0.143541699707728	0
"P21502_281"	25196	25196	16027	0.611212187371128	41223	310845	78.59	0.0810564750920877	0
"P21502_282"	7578	7578	4181	0.644442554639	11759	74790	78.68	0.101323706377858	0
"P21502_283"	6296	6296	3882	0.618589113774808	10178	66408	79.18	0.0948078544753644	0
"P21502_284"	13025	13025	7085	0.647687717553456	20110	87836	81.18	0.148287718019946	0
"P21502_285"	13822	13822	7192	0.657751974873894	21014	119088	78.36	0.116065430605938	0
"P21502_286"	29779	29779	20220	0.595591911838237	49999	239238	80.79	0.124474372800308	0
"P21502_287"	6801	6801	4124	0.622517162471396	10925	87244	77.97	0.0779537847874926	0
"P21502_288"	8733	8733	5243	0.624856897538638	13976	83254	79.42	0.104895860859538	0
"P21502_291"	33631	33631	30790	0.52205026311296	64421	311596	80.59	0.107931424023415	0
"P21502_294"	42333	42333	34111	0.553777928941447	76444	349125	81.1	0.121254564983888	0
