Barcode	Total
R05_C12W1_1	0
R05_C12W1_2	0
P21502_101_C12W1_1*	3249
P21502_101_C12W1_2	2062
P21502_102_C12W1_1	583
P21502_102_C12W1_2	721
P21502_103_C12W1_1	34
P21502_103_C12W1_2**	163
P21502_104_C12W1_1	72
P21502_104_C12W1_2	46
P21502_105_C12W1_1	428
P21502_105_C12W1_2	453
P21502_106_C12W1_1	219
P21502_106_C12W1_2	114
P21502_108_C12W1_1*	122
P21502_108_C12W1_2	62
P21502_109_C12W1_1	193
P21502_109_C12W1_2	118
P21502_111_C12W1_1	288
P21502_111_C12W1_2	273
P21502_112_C12W1_1	190
P21502_112_C12W1_2**	163
P21502_113_C12W1_1	177
P21502_113_C12W1_2	83
P21502_114_C12W1_1	109
P21502_114_C12W1_2	108
P21502_116_C12W1_1*	138
P21502_116_C12W1_2	47
P21502_117_C12W1_1	66
P21502_117_C12W1_2	66
P21502_118_C12W1_1	665
P21502_118_C12W1_2	654
P21502_119_C12W1_1	88
P21502_119_C12W1_2	100
P21502_119_C12W1_3	0
P21502_120_C12W1_1	60
P21502_120_C12W1_2	39
P21502_121_C12W1_1	43
P21502_121_C12W1_2**	7540
P21502_122_C12W1_1	178
P21502_122_C12W1_2	144
P21502_123_C12W1_1	83
P21502_123_C12W1_2	71
P21502_124_C12W1_1	1025
P21502_124_C12W1_2	265
P21502_125_C12W1_1	989
P21502_125_C12W1_2	799
P21502_126_C12W1_1	43
P21502_126_C12W1_2	50
P21502_127_C12W1_1*	3801
P21502_127_C12W1_2	66
P21502_128_C12W1_1	113
P21502_128_C12W1_2	135
P21502_107_C12W1_1*	3249
P21502_107_C12W1_2	868
P21502_110_C12W1_1	951
P21502_110_C12W1_2**	7540
P21502_129_C12W1_1	167
P21502_129_C12W1_2	219
P21502_130_C12W1_1	743
P21502_130_C12W1_2	165
P21502_131_C12W1_1	86
P21502_131_C12W1_2	74
P21502_132_C12W1_1	239
P21502_132_C12W1_2	119
P21502_133_C12W1_1	55
P21502_133_C12W1_2	42
P21502_134_C12W1_1	221
P21502_134_C12W1_2	0
P21502_135_C12W1_1	359
P21502_135_C12W1_2	416
P21502_136_C12W1_1	37
P21502_136_C12W1_2**	163
P21502_137_C12W1_1	633
P21502_137_C12W1_2	592
P21502_138_C12W1_1	135
P21502_138_C12W1_2	149
P21502_139_C12W1_1	242
P21502_139_C12W1_2	166
P21502_140_C12W1_1	2675
P21502_140_C12W1_2	1941
P21502_141_C12W1_1	173
P21502_141_C12W1_2	197
P21502_141_C12W1_3	270
P21502_142_C12W1_1	2983
P21502_142_C12W1_2*	3801
P21502_143_C12W1_1	71
P21502_143_C12W1_2	144
P21502_144_C12W1_1	77
P21502_144_C12W1_2	77
P21502_145_C12W1_1	118
P21502_145_C12W1_2*	138
P21502_146_C12W1_1	89
P21502_146_C12W1_2	78
P21502_147_C12W1_1*	122
P21502_147_C12W1_2	28
P21502_148_C12W1_1	874
P21502_148_C12W1_2	657
P21502_149_C12W1_1	80
P21502_149_C12W1_2	52
P21502_150_C12W1_1	120
P21502_150_C12W1_2	87
P21502_151_C12W1_1	1018
P21502_151_C12W1_2	1093
P21502_152_C12W1_1**	7540
P21502_152_C12W1_2	4342
P21502_153_C12W1_1	44
P21502_153_C12W1_2	32
P21502_154_C12W1_1	22
P21502_154_C12W1_2	0
P21502_155_C12W1_1	0
P21502_155_C12W1_2	0
P21502_156_C12W1_1	281
P21502_156_C12W1_2	136
Unknown1_VGx_C12W1_1	356
Unknown1_VGx_C12W1_2	298
Unknown2_VGy_C12W1_1	21
Unknown2_VGy_C12W1_2	50
