ID	Sample	Experiment	Population	Treatment	Timepoint	Bottel	Replicate
P21502_101	GP2-4_26	Strain	GP	NA	NA	NA	1
P21502_102	GP2-4_27	Strain	GP	NA	NA	NA	1
P21502_103	GP2-4_28	Strain	GP	NA	NA	NA	1
P21502_104	GP2-4_29	Strain	GP	NA	NA	NA	1
P21502_105	GP2-4_31	Strain	GP	NA	NA	NA	1
P21502_108	GP2-4_39	Strain	GP	NA	NA	NA	1
P21502_109	GP2-4_40	Strain	GP	NA	NA	NA	1
P21502_111	GP2-4_42	Strain	GP	NA	NA	NA	1
P21502_112	GP2-4_43	Strain	GP	NA	NA	NA	1
P21502_113	GP2-4_44	Strain	GP	NA	NA	NA	1
P21502_114	GP2-4_45	Strain	GP	NA	NA	NA	1
P21502_115	GP2-4_46	Strain	GP	NA	NA	NA	1
P21502_116	GP2-4_47	Strain	GP	NA	NA	NA	1
P21502_117	GP2-4_51	Strain	GP	NA	NA	NA	1
P21502_118	GP2-4_52	Strain	GP	NA	NA	NA	1
P21502_119	GP2-4_54	Strain	GP	NA	NA	NA	1
P21502_120	GP2-4_55	Strain	GP	NA	NA	NA	1
P21502_121	GP2-4_56	Strain	GP	NA	NA	NA	1
P21502_122	GP2-4_57	Strain	GP	NA	NA	NA	1
P21502_123	GP2-4_61	Strain	GP	NA	NA	NA	1
P21502_124	GP2-4_63	Strain	GP	NA	NA	NA	1
P21502_125	GP2-4_67	Strain	GP	NA	NA	NA	1
P21502_126	GP2-4_68	Strain	GP	NA	NA	NA	1
P21502_127	GP2-4_69	Strain	GP	NA	NA	NA	1
P21502_128	GP2-4_70	Strain	GP	NA	NA	NA	1
P21502_107	GP2-4_71	Strain	GP	NA	NA	NA	1
P21502_110	GP2-4_72	Strain	GP	NA	NA	NA	1
P21502_129	VG1-2_44	Strain	VG	NA	NA	NA	1
P21502_130	VG1-2_45	Strain	VG	NA	NA	NA	1
P21502_131	VG1-2_49	Strain	VG	NA	NA	NA	1
P21502_132	VG1-2_56	Strain	VG	NA	NA	NA	1
P21502_133	VG1-2_58	Strain	VG	NA	NA	NA	1
P21502_134	VG1-2_61	Strain	VG	NA	NA	NA	1
P21502_135	VG1-2_63	Strain	VG	NA	NA	NA	1
P21502_136	VG1-2_64	Strain	VG	NA	NA	NA	1
P21502_137	VG1-2_66	Strain	VG	NA	NA	NA	1
