Barcode	Strain_copies	Uniqe_pop	Homologs	Strain	Keep_VG	Keep_GP	Keep_1copy	Index
P21502_101_C2W24_1	5	No	al	GP2-4_26	No	No	Yes	2
P21502_101_C2W24_2	1	Yes	ce	GP2-4_26	Yes	Yes	Yes	1
P21502_102_C2W24_1	5	No	al	GP2-4_27	No	No	No	3
P21502_102_C2W24_2	2	No	ah	GP2-4_27	No	No	Yes	4
P21502_103_C2W24_1	6	No	aj	GP2-4_28	No	No	Yes	5
P21502_103_C2W24_2	3	No	ad	GP2-4_28	No	No	Yes	6
P21502_104_C2W24_1	5	No	aa	GP2-4_29	No	No	Yes	7
P21502_104_C2W24_2	4	No	af	GP2-4_29	No	No	Yes	8
P21502_105_C2W24_1	5	No	ai	GP2-4_31	No	No	Yes	9
P21502_105_C2W24_2	6	No	aj	GP2-4_31	No	No	No	10
P21502_107_C2W24_1	1	Yes	ap	GP2-4_71	Yes	Yes	Yes	11
P21502_107_C2W24_2	3	No	ad	GP2-4_71	No	No	No	12
P21502_108_C2W24_1	5	No	aa	GP2-4_39	No	No	No	13
P21502_108_C2W24_2	4	No	ab	GP2-4_39	No	No	Yes	14
P21502_109_C2W24_1	1	Yes	aq	GP2-4_40	Yes	Yes	Yes	15
P21502_109_C2W24_2	1	Yes	ar	GP2-4_40	Yes	Yes	Yes	16
P21502_110_C2W24_1	1	Yes	as	GP2-4_72	Yes	Yes	Yes	17
P21502_111_C2W24_1	5	No	ag	GP2-4_42	No	No	Yes	18
P21502_112_C2W24_1	5	No	aa	GP2-4_43	No	No	No	19
P21502_112_C2W24_2	4	No	af	GP2-4_43	No	No	No	20
P21502_113_C2W24_1	6	No	aj	GP2-4_44	No	No	No	21
P21502_113_C2W24_2	5	No	ai	GP2-4_44	No	No	No	22
P21502_114_C2W24_1	6	No	an	GP2-4_45or46	No	No	Yes	23
P21502_115_C2W24_1	6	No	an	GP2-4_45or46	No	No	No	24
P21502_116_C2W24_1	1	Yes	at	GP2-4_47	Yes	Yes	Yes	25
P21502_116_C2W24_2	3	No	ad	GP2-4_47	No	No	No	26
P21502_117_C2W24_1	1	Yes	au	GP2-4_51	Yes	Yes	Yes	27
P21502_117_C2W24_2	2	No	ah	GP2-4_51	No	No	No	28
P21502_118_C2W24_1	5	No	ai	GP2-4_52	No	No	No	29
P21502_118_C2W24_2	1	Yes	av	GP2-4_52	Yes	Yes	Yes	30
P21502_119_C2W24_1	2	No	ao	GP2-4_54	No	No	Yes	31
P21502_119_C2W24_2	1	Yes	aw	GP2-4_54	Yes	Yes	Yes	32
P21502_120_C2W24_1	2	Yes	am	GP2-4_55	No	Yes	Yes	33
P21502_120_C2W24_2	5	No	ag	GP2-4_55	No	No	No	34
P21502_121_C2W24_1	1	Yes	ax	GP2-4_56	Yes	Yes	Yes	35
P21502_121_C2W24_2	1	Yes	ay	GP2-4_56	Yes	Yes	Yes	36
P21502_122_C2W24_1	1	Yes	az	GP2-4_57	Yes	Yes	Yes	37
P21502_122_C2W24_2	1	Yes	ba	GP2-4_57	Yes	Yes	Yes	38
P21502_123_C2W24_1	5	No	ag	GP2-4_61	No	No	No	39
P21502_123_C2W24_2	2	No	ao	GP2-4_61	No	Yes	No	40
P21502_124_C2W24_1	5	No	aa	GP2-4_63	No	No	No	41
P21502_124_C2W24_2	6	No	an	GP2-4_63	No	Yes	No	42
P21502_125_C2W24_1	1	Yes	bb	GP2-4_67	Yes	Yes	Yes	43
P21502_125_C2W24_2	4	No	ab	GP2-4_67	No	No	No	44
P21502_126_C2W24_1	1	Yes	bc	GP2-4_68	Yes	Yes	Yes	45
P21502_127_C2W24_1	1	Yes	bd	GP2-4_69	Yes	Yes	Yes	46
P21502_127_C2W24_2	1	Yes	be	GP2-4_69	Yes	Yes	Yes	47
P21502_128_C2W24_1	6	No	an	GP2-4_70	No	No	No	48
P21502_128_C2W24_2	1	Yes	bf	GP2-4_70	Yes	Yes	Yes	49
P21502_129_C2W24_1	6	No	an	VG1-2_44	No	No	No	50
P21502_129_C2W24_2	1	Yes	bg	VG1-2_44	Yes	Yes	Yes	51
P21502_130_C2W24_1	1	Yes	bh	VG1-2_45	Yes	Yes	Yes	52
P21502_130_C2W24_2	2	No	ac	VG1-2_45	No	No	Yes	53
P21502_131_C2W24_1	1	Yes	cf	VG1-2_49	Yes	Yes	Yes	54
P21502_132_C2W24_1	5	Yes	ai	VG1-2_56	No	No	No	55
P21502_132_C2W24_2	2	No	ac	VG1-2_56	No	No	No	56
P21502_133_C2W24_1	5	No	al	VG1-2_58	No	No	No	57
P21502_133_C2W24_2	1	Yes	bf	VG1-2_58	Yes	Yes	Yes	58
P21502_134_C2W24_1	1	No	cg	VG1-2_61	Yes	Yes	Yes	59
