Barcode	Total
P21502_101_C2W24_1	2879
P21502_101_C2W24_2	1
P21502_102_C2W24_1	2879
P21502_102_C2W24_2	0
P21502_103_C2W24_1	1837
P21502_103_C2W24_2	1166
P21502_104_C2W24_1	3747
P21502_104_C2W24_2	0
P21502_105_C2W24_1	900
P21502_105_C2W24_2	1837
P21502_108_C2W24_1	3747
P21502_108_C2W24_2	120
P21502_109_C2W24_1	0
P21502_109_C2W24_2	0
P21502_111_C2W24_1	6793
P21502_112_C2W24_1	3747
P21502_112_C2W24_2	0
P21502_113_C2W24_1	1837
P21502_113_C2W24_2	900
P21502_114_C2W24_1	569
P21502_115_C2W24_1	569
P21502_116_C2W24_1	0
P21502_116_C2W24_2	1166
P21502_117_C2W24_1	4
P21502_117_C2W24_2	0
P21502_118_C2W24_1	900
P21502_118_C2W24_2	0
P21502_119_C2W24_1	0
P21502_119_C2W24_2	0
P21502_120_C2W24_1	4286
P21502_120_C2W24_2	6793
P21502_121_C2W24_1	0
P21502_121_C2W24_2	0
P21502_122_C2W24_1	6
P21502_122_C2W24_2	0
P21502_123_C2W24_1	6793
P21502_123_C2W24_2	0
P21502_124_C2W24_1	3747
P21502_124_C2W24_2	569
P21502_125_C2W24_1	0
P21502_125_C2W24_2	120
P21502_126_C2W24_1	0
P21502_127_C2W24_1	0
P21502_127_C2W24_2	0
P21502_128_C2W24_1	569
P21502_128_C2W24_2	0
P21502_107_C2W24_1	0
P21502_107_C2W24_2	1166
P21502_110_C2W24_1	0
P21502_129_C2W24_1	569
P21502_129_C2W24_2	75
P21502_130_C2W24_1	250
P21502_130_C2W24_2	38
P21502_131_C2W24_1	24
P21502_132_C2W24_1	900
P21502_132_C2W24_2	38
P21502_133_C2W24_1	2879
P21502_133_C2W24_2	1
P21502_134_C2W24_1	310
P21502_134_C2W24_2	23
P21502_135_C2W24_1	4286
P21502_135_C2W24_2	0
P21502_136_C2W24_1	1837
P21502_136_C2W24_2	569
P21502_137_C2W24_1	1841
P21502_137_C2W24_2	120
P21502_138_C2W24_1	771
P21502_139_C2W24_1	2879
P21502_139_C2W24_2	333
P21502_140_C2W24_1	1166
P21502_141_C2W24_1	493
P21502_141_C2W24_2	49
P21502_141_C2W24_3	0
P21502_142_C2W24_1	0
P21502_143_C2W24_1	900
P21502_143_C2W24_2	424
P21502_144_C2W24_1	184
P21502_144_C2W24_2	5
P21502_145_C2W24_1	1837
P21502_146_C2W24_1	105
P21502_146_C2W24_2	0
P21502_146_C2W24_3	1
P21502_147_C2W24_1	120
P21502_148_C2W24_1	3747
P21502_148_C2W24_2	6793
P21502_149_C2W24_1	0
P21502_149_C2W24_2	0
P21502_149_C2W24_3	0
P21502_150_C2W24_1	443
P21502_151_C2W24_1	6793
P21502_151_C2W24_2	2117
P21502_152_C2W24_1	0
P21502_153_C2W24_1	1
P21502_153_C2W24_2	0
P21502_154_C2W24_1	1837
P21502_155_C2W24_1	2
P21502_155_C2W24_2	0
P21502_156_C2W24_1	2879
P21502_156_C2W24_2	0
P21502_156_C2W24_3	0
