"ID"	"Hits"	"Unknown"	"Fraction"	"Total"	"Raw.Reads"	"X..Q30..."	"Fraction2"	"All_allels_total"	"NonUniqe_Fraction"
"P21502_101"	22	6	0.785714285714286	28	143	72.72	0.153846153846154	22	0
"P21502_102"	1173	312	0.78989898989899	1485	6414	78.05	0.18288119738073	1173	0
"P21502_103"	6035	1700	0.78021978021978	7735	36394	68.36	0.165824036929164	6035	0
"P21502_104"	72	22	0.765957446808511	94	780	68.76	0.0923076923076923	72	0
"P21502_105"	567	179	0.760053619302949	746	4565	70.74	0.12420591456736	567	0
"P21502_107"	116	54	0.682352941176471	170	655	78.49	0.177099236641221	116	0
"P21502_108"	4487	1168	0.793457117595049	5655	30586	76.79	0.146701105080756	4487	0
"P21502_109"	8012	1139	0.875532728663534	9151	46337	70.13	0.172907180007338	8012	0
"P21502_110"	14204	3689	0.793829989381322	17893	76595	75.2	0.185442914028331	14204	0
"P21502_111"	4199	1023	0.804098046725393	5222	23389	78.74	0.179528838342811	4199	0
"P21502_112"	2426	1033	0.7013587742122	3459	24629	76.31	0.0985017662105648	2426	0
"P21502_113"	2508	1104	0.694352159468439	3612	10365	72.62	0.241968162083936	2508	0
"P21502_114"	246	74	0.76875	320	31821	69.92	0.007730743848402	246	0
"P21502_115"	4009	992	0.801639672065587	5001	41871	77.31	0.0957464593632825	4009	0
"P21502_116"	5953	1960	0.752306331353469	7913	25393	71.55	0.234434686724688	5953	0
"P21502_117"	3945	940	0.807574206755374	4885	26287	66.46	0.150074181154183	3945	0
"P21502_118"	6195	1904	0.764909248055315	8099	34307	76.04	0.180575392776984	6195	0
"P21502_119"	7	1	0.875	8	1987	43.18	0.00352289884247609	7	0
"P21502_120"	8460	2329	0.784131986282325	10789	41770	76.8	0.20253770648791	8460	0
"P21502_121"	5183	1665	0.756863317757009	6848	29115	77.76	0.178018203675082	5183	0
"P21502_122"	330	73	0.818858560794045	403	31466	71.21	0.0104875103286087	330	0
"P21502_123"	3703	1253	0.747175141242938	4956	41713	77.82	0.0887732841080718	3703	0
"P21502_124"	4438	1262	0.77859649122807	5700	32633	66.66	0.135997303343242	4438	0
"P21502_125"	5122	1641	0.757356202868549	6763	51720	74.68	0.0990332559938128	5122	0
"P21502_126"	3	19	0.136363636363636	22	36746	75.32	8.16415392151527e-05	3	0
"P21502_127"	8829	2119	0.806448666423091	10948	52172	77.57	0.169228705052519	8829	0
"P21502_128"	2272	669	0.772526351581095	2941	35561	75.69	0.0638902168105509	2272	0
"P21502_201"	34133	18161	0.652713504417333	52294	2026167	39.13	0.0168460941274831	63853	0.465444066841025
"P21502_203"	3121	2081	0.59996155324875	5202	80602	43.79	0.0387211235453215	6381	0.51089170976336
"P21502_204"	369	201	0.647368421052632	570	171188	35.06	0.00215552491997103	676	0.45414201183432
"P21502_206"	21397	13177	0.618875455544629	34574	70007	79.35	0.30564086448498	33033	0.352253806799261
"P21502_207"	19689	21445	0.478655127145427	41134	87442	73.68	0.22516639601107	30788	0.360497596466156
"P21502_208"	18659	11314	0.622526940913489	29973	113261	61.59	0.164743380333919	33000	0.434575757575758
"P21502_209"	21385	15313	0.582729304049267	36698	111313	68.54	0.192115925363614	38654	0.446758420862007
"P21502_210"	10411	6910	0.601062294324808	17321	114549	51.7	0.0908868693746781	21538	0.51662178475253
"P21502_212"	22506	12672	0.639774859287054	35178	133186	60.5	0.168981724805911	43330	0.480590814678052
"P21502_214"	42346	12846	0.76724887664879	55192	98852	80.38	0.428377776878566	52864	0.198963377723971
"P21502_216"	37584	6101	0.860341078173286	43685	77368	75.96	0.485782235549581	38500	0.0237922077922078
"P21502_218"	27691	12399	0.690720878024445	40090	101511	76.48	0.272788170740117	44348	0.375597546676288
