"Population"	"Treatment"	"Strain"	"Barcode_mean"	"Barcode_N"	"Barcode_High"	"Barcode_Low"	"Growth_Rate"	"High"	"Low"
"1"	"GP"	"Control"	"GP2-4_26"	1.70109400822516	1	NA	NA	1.407856773	1.592106276	1.22360727
"2"	"GP"	"Control"	"GP2-4_27"	1.61212921245105	1	NA	NA	1.529346538	1.678140479	1.380552597
"3"	"GP"	"Control"	"GP2-4_28"	1.74041638619061	1	NA	NA	1.504818524	1.548124168	1.46151288
"4"	"GP"	"Control"	"GP2-4_29"	1.22499466812772	1	NA	NA	1.298249253	1.37401934	1.222479166
"5"	"GP"	"Control"	"GP2-4_31"	1.70829311387856	1	NA	NA	1.149735581	1.310836235	0.988634927
"6"	"GP"	"Control"	"GP2-4_32"	1.23769086144573	1	NA	NA	1.169317308	1.329676767	1.008957849
"7"	"GP"	"Control"	"GP2-4_39"	1.6917384635754	1	NA	NA	1.484476775	1.56504808	1.40390547
"8"	"GP"	"Control"	"GP2-4_40"	1.94408233767917	1	NA	NA	1.324608547	1.445550284	1.20366681
"9"	"GP"	"Control"	"GP2-4_42"	1.08394122485064	1	NA	NA	0.063047713	0.242285822	-0.116190396
"10"	"GP"	"Control"	"GP2-4_43"	1.77224271054073	1	NA	NA	1.519814235	1.66546603	1.37416244
"11"	"GP"	"Control"	"GP2-4_44"	1.24028353102109	1	NA	NA	1.305513755	1.422326948	1.188700562
"12"	"GP"	"Control"	"GP2-4_45and46"	1.49169639690213	1	NA	NA	1.595340198	1.663728173	1.526952223
"13"	"GP"	"Control"	"GP2-4_47"	1.63765878686318	1	NA	NA	1.542451182	1.654959655	1.429942709
"14"	"GP"	"Control"	"GP2-4_51"	1.35731131148128	1	NA	NA	0.782936704	0.948541065	0.617332343
"15"	"GP"	"Control"	"GP2-4_52"	1.60711060791437	1	NA	NA	1.510461208	1.570403836	1.45051858
"16"	"GP"	"Control"	"GP2-4_54"	1.08394122485064	1	NA	NA	1.260399648	1.435035983	1.085763313
"17"	"GP"	"Control"	"GP2-4_55"	1.52046092847671	1	NA	NA	1.398489283	1.477021161	1.319957405
"18"	"GP"	"Control"	"GP2-4_56"	1.62455113387537	1	NA	NA	1.106186148	1.445633815	0.766738481
"19"	"GP"	"Control"	"GP2-4_57"	1.15482874831507	1	NA	NA	1.277305636	1.31955552	1.235055752
"20"	"GP"	"Control"	"GP2-4_61"	1.75998043233216	1	NA	NA	1.487688258	1.56504809	1.410328426
"21"	"GP"	"Control"	"GP2-4_63"	1.6767497605241	1	NA	NA	1.546746187	1.629254341	1.464238033
"22"	"GP"	"Control"	"GP2-4_67"	1.60376537363556	1	NA	NA	1.551822938	1.644882168	1.458763708
"23"	"GP"	"Control"	"GP2-4_68"	1.27896634443075	1	NA	NA	1.414518041	1.526590499	1.302445583
"24"	"GP"	"Control"	"GP2-4_69"	1.81524626281113	1	NA	NA	1.524050089	1.664637188	1.38346299
"25"	"GP"	"Control"	"GP2-4_70"	1.62536541732817	1	NA	NA	1.460262023	1.525828599	1.394695447
"26"	"GP"	"Control"	"GP2-4_71"	1.67219387360687	1	NA	NA	0.778128553	1.137017166	0.41923994
"27"	"GP"	"Control"	"GP2-4_72"	1.50924300208056	1	NA	NA	1.579373478	1.644731068	1.514015888
"28"	"VG"	"Control"	"VG1-2_103"	1.80343051258139	5	1.83565469497023	1.77120633019256	1.86078132	1.926681839	1.794880801
"29"	"VG"	"Control"	"VG1-2_104"	1.49088859719313	5	1.5394580268456	1.44231916754066	1.58298271	1.722977073	1.442988347
"30"	"VG"	"Control"	"VG1-2_105"	1.49088859719313	5	1.5394580268456	1.44231916754066	1.549503587	1.748074269	1.350932905
"31"	"VG"	"Control"	"VG1-2_106"	1.49088859719313	5	1.5394580268456	1.44231916754066	1.31594626	1.578694627	1.053197893
"32"	"VG"	"Control"	"VG1-2_107"	1.79992672159371	5	1.85709957026024	1.74275387292718	1.72430081	1.811574476	1.637027144
"33"	"VG"	"Control"	"VG1-2_44"	1.6940659137207	5	1.72310601704793	1.66502581039347	1.584569991	1.610552059	1.558587923
"34"	"VG"	"Control"	"VG1-2_45"	1.57915997451657	5	1.5998097851048	1.55851016392834	1.328569725	1.414665922	1.242473528
"35"	"VG"	"Control"	"VG1-2_49"	1.64540722604631	5	1.66610618306033	1.62470826903229	1.483911662	1.585538592	1.382284732
"36"	"VG"	"Control"	"VG1-2_56"	1.74025358944034	5	1.79087500676175	1.68963217211894	1.626721304	1.690563112	1.562879496
"37"	"VG"	"Control"	"VG1-2_58"	1.63228102750371	5	1.66317379877032	1.6013882562371	1.520942903	1.586152038	1.455733768
"38"	"VG"	"Control"	"VG1-2_61"	1.62817756591708	5	1.64895164929973	1.60740348253443	1.6109705	1.692567107	1.529373893
"39"	"VG"	"Control"	"VG1-2_63"	1.81631917228274	5	1.87142286111816	1.76121548344733	0.568659565	0.656511366	0.480807764
"40"	"VG"	"Control"	"VG1-2_64"	1.67011279016604	5	1.68946772753629	1.65075785279579	1.581928041	1.633836823	1.530019259
"41"	"VG"	"Control"	"VG1-2_65or99"	1.52095732428463	5	1.56044760563059	1.48146704293866	1.443195267	1.506802467	1.379588067
"42"	"VG"	"Control"	"VG1-2_66"	1.79250980538724	5	1.81476954841624	1.77025006235824	1.370281279	1.468995842	1.271566716
"43"	"VG"	"Control"	"VG1-2_67"	1.74593378705073	5	1.76907281270176	1.7227947613997	1.676851461	1.743643559	1.610059363
"44"	"VG"	"Control"	"VG1-2_72"	1.72153643427244	5	1.75985785230222	1.68321501624266	1.739190374	1.789481591	1.688899157
"45"	"VG"	"Control"	"VG1-2_74"	1.74014786396211	5	1.75672773860532	1.72356798931889	1.887243718	1.939628908	1.834858528
"46"	"VG"	"Control"	"VG1-2_78"	1.70581211099491	5	1.74453277541404	1.66709144657578	1.854203084	1.884031406	1.824374762
"47"	"VG"	"Control"	"VG1-2_81"	1.79339245062665	5	1.81760208557053	1.76918281568276	1.783334116	1.842812632	1.7238556
"48"	"VG"	"Control"	"VG1-2_83"	1.63899270745498	5	1.66593213225298	1.61205328265699	1.684539295	1.759154642	1.609923948
"49"	"VG"	"Control"	"VG1-2_85"	1.66589137227427	5	1.69975667448619	1.63202607006235	1.50883097	1.649977974	1.367683966
"50"	"VG"	"Control"	"VG1-2_86"	1.64628910762251	5	1.67379267842089	1.61878553682413	1.536579674	1.635332587	1.437826761
"51"	"VG"	"Control"	"VG1-2_88"	1.50735777038483	5	1.54929002441972	1.46542551634993	1.46297308	1.67623935	1.24970681
