"GP2-4_26"	"GP2-4_27"	"GP2-4_28"	"GP2-4_29"	"GP2-4_31"	"GP2-4_32"	"GP2-4_39"	"GP2-4_40"	"GP2-4_42"	"GP2-4_43"	"GP2-4_47"	"GP2-4_51"	"GP2-4_52"	"GP2-4_54"	"GP2-4_55"	"GP2-4_56"	"GP2-4_57"	"GP2-4_61"	"GP2-4_63"	"GP2-4_67"	"GP2-4_68"	"GP2-4_69"	"GP2-4_70"	"GP2-4_71"	"GP2-4_72"	"VG1-2_103"	"VG1-2_104"	"VG1-2_105"	"VG1-2_106"	"VG1-2_107"	"VG1-2_44"	"VG1-2_45"	"VG1-2_49"	"VG1-2_56"	"VG1-2_58"	"VG1-2_61"	"VG1-2_63"	"VG1-2_64"	"VG1-2_66"	"VG1-2_67"	"VG1-2_72"	"VG1-2_74"	"VG1-2_78"	"VG1-2_81"	"VG1-2_83"	"VG1-2_85"	"VG1-2_86"	"VG1-2_88"	"VG1-2_89"	"VG1-2_90"	"VG1-2_93"	"VG1-2_94"	"VG1-2_95"
1.0241785	0.9884459	0.9970061	0.9716149	1.1349954	1.0080476	0.9531121	2.26675	1.6586557	1.9755945	0.9492563	1.1224702	1.639485	1.1178986	1.0492228	0.9980259	0.9937319	1.0061913	2.2997621	2.1139663	1.6620138	1.6564859	0.9753888	1.0561097	1.578106	1.4901122	1.7010163	1.057595	0.9619459	0.9961637	0.9489352	1.057199	1.6383896	1.0688947	1.4496544	1.6241805	1.077157	2.1294021	1.0013777	2.4152531	1.0065193	2.1692672	1.360493	1.491736	1.1404151	1.0663589	1.6573104	1.0577734	1.140431	1.6567072	1.6015925	0.905523	1.0016514
1.3324407	1.8604393	1.7384862	1.9092233	2.2608265	1.7951727	1.7003519	3.014438	1.5166323	2.3694839	1.3066222	2.8310536	1.4744895	2.7573721	1.9560004	1.2140917	2.273805	1.401165	2.2350139	1.569618	1.5247165	1.1994887	1.1183264	1.3949901	1.2590175	1.0986894	1.8941302	1.2646113	1.34537	1.0513365	1.1637927	3.2102119	1.9717384	2.0547561	1.4451961	1.9285158	1.805339	1.923583	1.2889156	0.9656032	1.0187396	1.4924782	2.95219	1.8493298	1.3483686	1.297201	1.2917836	2.3064851	2.0165192	1.1739209	1.4080412	1.3141687	1.045567
6.4004885	3.015725	2.7999696	2.6915999	1.6547377	4.2087668	6.7295298	6.50997	3.4549462	3.5974974	3.5621973	5.0783745	2.0604302	4.1225621	3.6058142	4.4933937	1.2241846	3.0999677	3.5110416	2.9276457	5.5777434	2.9402824	1.3491844	6.5184295	1.8747345	2.9003635	4.1537047	1.3135687	6.0964456	2.1576048	3.7643376	1.9995772	1.7231245	4.8348394	4.4821634	2.8633011	2.418455	3.4912711	4.606816	3.2361774	3.0022008	3.8165485	3.612545	2.0025613	1.9988397	3.3433205	3.6508158	1.3345433	5.1339891	1.3812865	1.9084536	3.6303585	1.8673467
2.0069618	3.0650841	1.6504951	4.4172142	2.7817148	2.4654009	3.0780901	3.434367	2.2324105	3.3143031	3.0853934	1.7836631	1.9982207	4.0385652	1.7434633	1.8254498	3.396395	3.031385	3.4499623	0.8752273	1.9524497	3.5475068	2.0714328	2.5335464	2.084404	2.4648559	2.7667123	1.0490623	2.4233407	1.9956906	1.884227	3.499439	2.4139609	2.2322428	2.285343	2.096354	2.771446	1.6065789	3.2952707	4.4663126	4.1399819	4.4842225	3.734973	3.3315598	1.82809	2.2881801	2.3489472	2.8271202	1.8254703	3.2226184	2.5014354	2.4521708	3.4338866
9.5367716	7.6900027	5.8617988	7.8194492	11.4790587	8.2503366	9.2496746	11.46697	6.75903	11.1818271	14.3246494	10.4206877	15.8821354	16.7258585	13.1955123	9.5889397	4.3387793	11.446678	7.3034225	10.6607225	16.1824528	22.6696591	6.3429696	19.3685325	10.5900296	16.0419182	10.5694031	9.8256635	19.2331744	13.0988864	10.8116973	22.7864967	10.3680391	11.7654458	11.9177039	13.0990631	16.756032	13.0714727	9.1490614	9.4300994	13.2976684	19.8748134	10.458463	11.4416932	10.5813887	9.9006531	17.5088664	9.0761426	7.5622237	20.9458195	9.9601882	11.3887838	9.5562011
11.260308	16.4168506	10.821182	7.7262138	9.0623359	10.5971723	20.8479362	16.40445	6.0695932	13.0150003	17.2694085	4.851046	14.8221142	5.9657675	10.0115044	8.8985195	10.4435893	10.3784765	11.1188824	12.868396	11.4367181	7.118941	11.7474787	8.8097768	19.8214104	16.7838536	7.1382829	14.9634018	8.8609936	14.8299379	9.5514935	12.9443938	13.3123208	8.7795652	15.7790194	5.7593673	15.161304	8.8531464	7.6496716	10.5103025	15.4848957	9.6602043	11.97039	10.5237191	7.7074751	11.5649261	12.5102325	8.2746551	6.8834611	13.3911471	12.3374742	15.2034209	10.6990831
2.6437627	1.6925108	1.8664002	1.9720756	2.9680394	1.9036668	1.8958656	1.912005	2.350986	1.3419655	1.7483071	1.7165343	2.0212777	1.982802	1.4493749	1.7413961	1.8713484	2.0010898	1.5887008	1.8678444	1.9870338	1.7467598	1.8771259	2.0246909	1.3649288	2.1254085	2.2927671	1.3602519	1.9967533	1.8280656	2.0399505	1.9949293	1.6279395	2.3946127	2.0724365	1.5171782	1.735186	2.0128982	1.7957207	2.3871445	2.0611649	1.9225261	2.123492	1.6985113	2.1381414	1.4831712	1.9693361	2.0317509	2.3334108	1.5642927	2.2163148	1.7925488	1.5115049
1.127225	0.8509359	0.9872165	1.6392202	1.1045497	1.0802701	0.8582848	1.346981	1.1167353	0.8399427	0.7001367	0.9510842	1.0496516	0.638366	1.0869501	0.8714173	1.049355	0.9383005	1.0530223	1.1362408	1.1876047	1.0085397	1.0480875	1.0105439	1.1029553	0.8802421	1.1284767	0.943008	0.9260021	1.1905805	0.9576649	1.1490913	0.777507	0.8640961	0.8697282	1.0295109	1.010428	0.9957469	1.0185888	1.0811724	0.9070349	0.9351073	0.802622	0.962168	1.057886	0.9941883	0.9671176	0.777673	1.0143207	1.1492093	1.1012387	0.9300615	0.9664446
2.300775	2.0341774	2.1305326	2.0627618	2.8395489	2.8894478	0.9906644	2.566108	2.1458668	1.9542807	2.0423129	2.2267574	2.1827945	1.9265846	2.137159	2.0348337	2.1071474	1.9104869	2.3159649	2.2251441	2.5905844	2.147854	1.8869404	2.2325618	2.759136	2.1060646	2.2688407	2.455378	1.9494443	2.8674591	2.4823452	2.1661885	2.5061112	2.6264803	2.4932341	2.2901497	2.053697	2.2059902	2.4392641	2.1234562	2.2831674	2.069963	2.06502	1.8802679	2.2598559	1.9378346	2.7145056	2.0660253	2.306642	2.1166626	2.1277676	1.7700286	2.1560353
1.2864379	1.556186	1.300299	0.6926499	1.4844108	1.3910136	1.1157957	1.085522	1.230841	1.4329662	1.279311	1.0020259	1.062133	1.462618	1.3580973	1.4392566	1.3444183	1.4064139	1.6335169	0.4850625	1.447542	1.4386052	1.0956685	1.0900229	0.970639	1.147797	1.637026	1.4424526	1.4849025	1.1535559	1.3606534	1.5720533	1.3928834	1.4573919	1.4634616	1.337189	1.027706	1.5385258	1.0561929	1.2841624	1.4105321	1.4933783	1.384321	1.5367726	1.4558958	1.372939	1.4566629	1.2504498	1.4841871	1.3084315	1.4821156	1.084283	1.4402492
1.8027329	2.5095322	1.4139167	1.5825231	1.2591479	1.6997805	1.1683518	1.302718	1.7701184	1.1606214	1.0410167	1.6869121	1.6516767	1.9657875	1.5811812	1.4882212	1.3508788	1.8921133	1.601781	1.6003928	1.5109433	1.2295102	1.3310143	1.9833867	1.4829451	1.9083344	1.2573514	1.3869321	1.4097269	1.9796475	1.5704904	1.6503374	1.4256869	1.2688307	1.1032997	1.6785512	1.230056	1.5534367	1.7109212	1.8516747	1.2325586	1.2535973	1.699118	2.3131574	1.3546067	2.4511644	1.3937916	1.7142862	2.449899	1.4526852	1.5456304	1.2679226	1.6308134
2.8642424	1.6571907	2.4395978	1.9679415	1.832444	1.9242782	1.5278859	1.836807	2.3214279	2.3430297	1.915289	2.2575676	1.3308004	2.0535185	1.8029864	1.6505192	2.4721658	1.805585	2.0830678	1.7675658	2.0759284	1.8897268	1.6341362	2.0856722	2.0382857	1.5400637	4.0347008	2.0476121	2.5418683	1.5907016	2.3085607	1.8734617	1.4912997	1.4352369	2.2281177	1.6805957	1.863554	1.6031309	1.5248239	1.7273107	1.7568114	3.1622394	1.65432	1.9779271	1.7854732	2.138393	2.1640906	2.5508384	2.4524503	1.901718	2.1561308	2.224928	1.5418686
1.0485613	0.8035403	1.8204961	1.3366321	1.6079085	1.9554194	1.4557519	1.933254	1.3384888	0.7775578	1.0380626	1.3332028	1.1709265	1.3506072	0.9020356	1.3411645	1.3117297	1.0414062	0.700518	1.6660897	1.5929373	0.9741795	0.8652248	1.524738	1.5302316	1.6943794	1.7496329	1.6329584	1.8405618	1.2881508	1.0602028	1.3893829	0.8746806	1.0403645	1.1208952	1.2353957	1.036074	1.1967684	1.5032525	1.0309954	1.0090283	0.9423142	1.687331	1.4521098	1.1798379	1.4012236	1.8830771	1.3635073	1.7598255	1.3099464	1.3794608	1.1348192	1.2005588
1.2299581	1.4776879	1.2620402	1.7974266	1.4426084	1.6856903	1.4844489	1.731441	1.5722192	1.4393307	2.3831364	1.1092546	1.3810234	1.2847229	1.5775086	1.1470107	1.0635207	1.3864295	1.5804866	1.6563321	0.9265752	0.58065	1.7218758	1.3334308	1.5626482	0.7762576	0.5919818	0.7246893	1.1966825	1.2456461	1.1052181	1.0382117	0.4315801	1.4037765	1.070747	1.1744645	1.43249	1.5043994	1.1183159	1.6320895	0.9615463	1.650725	1.378183	0.6857698	1.6057416	1.3940634	1.3791955	1.4205888	1.6589666	1.2093907	1.2532188	1.2035092	1.5666363
