"Variable.pair.i."	"p.value"	"r.value"
"Barcode_Cu_vs_Barcode_C"	0.0549393591464236	0.255646472518501
"Barcoded_CuInhibition_vs_Barcode_C"	0.433730349403049	0.105739040769615
"EC05_vs_Barcode_C"	0.560009245180444	-0.0810792135097526
"EC50_vs_Barcode_C"	0.964615589957309	-0.00618153491981741
"EC95_vs_Barcode_C"	0.577137573160384	0.0775764639874058
"ResponseRange_Cu_vs_Barcode_C"	0.417626178868417	0.112584421381013
"Growth_Rate_vs_Barcode_C"	0.00102915365634515	0.43444134373824
"FvFm_vs_Barcode_C"	5.16645340304933e-05	0.521971691057034
"Surface_Vol_ratio_vs_Barcode_C"	0.142129742670755	-0.202418674549462
"CuGrowth_vs_Barcode_C"	0.371463017904806	0.124054096647263
"Barcoded_CuInhibition_vs_Barcode_Cu"	0	0.978982721545463
"EC05_vs_Barcode_Cu"	0.909840654866308	-0.0157781886817485
"EC50_vs_Barcode_Cu"	0.0613910615693984	0.256292570697878
"EC95_vs_Barcode_Cu"	0.00186356979643953	0.413896893200319
"ResponseRange_Cu_vs_Barcode_Cu"	0.137724474484143	0.204634002493017
"Growth_Rate_vs_Barcode_Cu"	0.697545638286458	0.0541140485189775
"FvFm_vs_Barcode_Cu"	0.557578519299231	0.0815803282367447
"Surface_Vol_ratio_vs_Barcode_Cu"	0.72547487618519	0.0489012617676587
"CuGrowth_vs_Barcode_Cu"	0.00730829563486779	0.361080367519591
"EC05_vs_Barcoded_CuInhibition"	0.953091721641389	-0.00819669338822734
"EC50_vs_Barcoded_CuInhibition"	0.0922431231292244	0.231413222254564
"EC95_vs_Barcoded_CuInhibition"	0.00648268983660438	0.366070382848745
"ResponseRange_Cu_vs_Barcoded_CuInhibition"	0.215408722705709	0.171342524333581
"Growth_Rate_vs_Barcoded_CuInhibition"	0.678912388543594	-0.0576328293985868
"FvFm_vs_Barcoded_CuInhibition"	0.9093471516871	0.0158649156620781
"Surface_Vol_ratio_vs_Barcoded_CuInhibition"	0.389365802723335	0.119511501274422
"CuGrowth_vs_Barcoded_CuInhibition"	0.0211447955970419	0.313115963269886
"EC50_vs_EC05"	1.00806030189915e-11	0.769970820806272
"EC95_vs_EC05"	0.214540363230098	0.171662402727572
"ResponseRange_Cu_vs_EC05"	4.44089209850063e-16	-0.851388028381428
"Growth_Rate_vs_EC05"	0.0218903537413786	-0.311423250063914
"FvFm_vs_EC05"	0.644138450677502	-0.0642987977768007
"Surface_Vol_ratio_vs_EC05"	0.661959406983738	0.0608656499122802
"CuGrowth_vs_EC05"	0.000447948854635616	0.461223625616283
"EC95_vs_EC50"	3.01445535200173e-11	0.758658491052373
"ResponseRange_Cu_vs_EC50"	0.00712686888067937	-0.362133155206419
"Growth_Rate_vs_EC50"	0.872847025151979	-0.0222981772373313
"FvFm_vs_EC50"	0.547173193951058	0.0837372871569806
"Surface_Vol_ratio_vs_EC50"	0.849681806695377	0.0264043524258529
"CuGrowth_vs_EC50"	0	0.862983362364501
"ResponseRange_Cu_vs_EC95"	0.0165010045457472	0.324971775420302
"Growth_Rate_vs_EC95"	0.0487666181904736	0.269489917247743
"FvFm_vs_EC95"	0.169446635799769	0.189711601693379
"Surface_Vol_ratio_vs_EC95"	0.917691309671987	-0.0143993106357776
"CuGrowth_vs_EC95"	0	0.871110215298635
"Growth_Rate_vs_ResponseRange_Cu"	0.00467682433889083	0.379287070435481
"FvFm_vs_ResponseRange_Cu"	0.333693280507581	0.134093675528738
"Surface_Vol_ratio_vs_ResponseRange_Cu"	0.78930457904175	-0.0372215304178798
"CuGrowth_vs_ResponseRange_Cu"	0.979249385071111	0.00362430385410559
"FvFm_vs_Growth_Rate"	0.025719127789487	0.303427441282375
"Surface_Vol_ratio_vs_Growth_Rate"	0.0530293055591649	-0.264752802513459
"CuGrowth_vs_Growth_Rate"	0.0487362827706672	0.269524816767542
"Surface_Vol_ratio_vs_FvFm"	0.303157795751998	0.142743303790394
"CuGrowth_vs_FvFm"	0.246379385643229	0.16047563446383
"CuGrowth_vs_Surface_Vol_ratio"	0.918515886522975	0.0142545648018501
