Strain	Growth_Rate	High	Low
GP2-4_26	0.217556988	0.465151921	-0.030037944
GP2-4_27	0.211437738	0.42317029	-0.000294814
GP2-4_28	0.018789594	0.062701856	-0.025122668
GP2-4_29	0.021135867	0.555805514	-0.513533781
GP2-4_31	0.351473648	0.545382743	0.157564553
GP2-4_32	0.482624534	0.633011456	0.332237611
GP2-4_71	0.070113404	0.322241105	-0.182014297
GP2-4_39	0.241176789	0.342727929	0.139625649
GP2-4_40	0	0	0
GP2-4_72	0.64012299	0.841261753	0.438984228
GP2-4_42	0.000208093	0.005873773	-0.005457587
GP2-4_43	0.206122857	0.33681963	0.075426084
GP2-4_44	0.415173458	0.618961167	0.21138575
GP2-4_45	0.603773901	0.7688476	0.438700203
GP2-4_46	0.400009373	0.550581892	0.249436853
GP2-4_47	0.30133428	0.429620141	0.173048418
GP2-4_51	0.144606905	0.328602959	-0.039389149
GP2-4_52	0.261247176	0.375496657	0.146997695
GP2-4_54	0.48121449	0.668659572	0.293769407
GP2-4_55	0.239035633	0.346779092	0.131292173
GP2-4_56	0.866196045	3.838472684	-2.106080593
GP2-4_57	0.149143187	0.222071961	0.076214413
GP2-4_61	0.555998526	0.639398624	0.472598428
GP2-4_63	0.605065429	0.751613687	0.458517171
GP2-4_67	0.585375499	0.733811384	0.436939615
GP2-4_68	0.133968223	0.243743814	0.024192632
GP2-4_69	0.215318991	0.350212705	0.080425277
GP2-4_70	0.425175051	0.60917911	0.241170992
VG1-2_44	0.17394503	0.276211539	0.071678521
VG1-2_45	0.415784822	0.515255226	0.316314418
VG1-2_49	0.038503778	0.11747054	-0.040462985
VG1-2_56	0.450193352	0.612297184	0.28808952
VG1-2_58	0.417110871	0.525531506	0.308690236
VG1-2_61	0.171089582	0.247112728	0.095066437
VG1-2_63	0.131234699	0.269205624	-0.006736226
VG1-2_64	0.289292987	0.386716073	0.191869902
VG1-2_65	0.076273258	0.128393871	0.024152645
VG1-2_66	0.533764581	0.684059489	0.383469673
VG1-2_67	0.000270072	0.001983457	-0.001443314
VG1-2_72	0.286429398	0.407841708	0.165017088
VG1-2_74	0.947070791	1.031705048	0.862436534
VG1-2_78	0.256075738	0.356390331	0.155761146
VG1-2_81	1.379102251	1.442606389	1.315598112
VG1-2_83	0.228603946	0.326410448	0.130797444
VG1-2_85	0.267448781	0.373114739	0.161782824
VG1-2_86	0.269024409	0.381531418	0.156517399
VG1-2_88	0.465539105	0.589724344	0.341353866
VG1-2_89	0.660017388	0.81877846	0.501256317
VG1-2_90	0.47733727	0.553886974	0.400787566
VG1-2_93	0.1757226	0.322168458	0.029276742
VG1-2_94	0.13901954	0.200302477	0.077736603
VG1-2_95	0.685614092	0.950250132	0.420978053
VG1-2_99	0.685505343	0.787143592	0.583867094
VG1-2_103	0.41404131	0.552440957	0.275641663
VG1-2_104	0.694537723	0.801168272	0.587907174
VG1-2_105	1.083280252	1.252933902	0.913626602
VG1-2_106	0.377275569	0.55233719	0.202213949
VG1-2_107	0.562280584	0.667188362	0.457372807
