Population	Experiment	Timepoint	Treatment	Rep	Exposure_h	SamplePoint	YII
GP	GP	3	Cu	1	0	start	0.61
GP	GP	3	Cu	2	0	start	0.61
GP	GP	3	Cu	3	0	start	0.61
GP	GP	3	C	1	0	start	0.61
GP	GP	3	C	2	0	start	0.61
GP	GP	3	C	3	0	start	0.61
GP	GP	3	Cu	1	0.379444444	20min	0.6
GP	GP	3	Cu	2	0.391666667	20min	0.61
GP	GP	3	Cu	3	0.449444444	20min	0.62
GP	GP	3	C	1	0.486666667	20min	0.58
GP	GP	3	C	2	0.525833333	20min	0.56
GP	GP	3	C	3	0.562777778	20min	0.6
GP	GP	3	Cu	1	1.064444444	1h	0.44
GP	GP	3	Cu	2	1.088611111	1h	0.47
GP	GP	3	Cu	3	1.111388889	1h	0.45
GP	GP	3	C	1	1.144444444	1h	0.39
GP	GP	3	C	2	1.231666667	1h	0.37
GP	GP	3	C	3	1.207777778	1h	0.38
GP	GP	3	Cu	1	2.666111111	3h	0.19
GP	GP	3	C	1	2.761388889	3h	0.085
GP	GP	3	Cu	2	2.852777778	3h	0.16
GP	GP	3	C	2	2.940833333	3h	0.088
GP	GP	3	Cu	3	3.034444444	3h	0.16
GP	GP	3	C	3	3.122777778	3h	0.14
GP	GP	21	Cu	1	0	start	0.61
GP	GP	21	Cu	2	0	start	0.61
GP	GP	21	Cu	4	0	start	0.61
GP	GP	21	C	1	0	start	0.61
GP	GP	21	C	2	0	start	0.61
GP	GP	21	C	3	0	start	0.61
RO5AC	GP	21	Cu	1	0	start	0.61
GP	GP	21	Cu	1	0.456944444	20min	0.56
GP	GP	21	Cu	2	0.481388889	20min	0.59
GP	GP	21	Cu	4	0.501944444	20min	0.54
GP	GP	21	C	1	0.392777778	20min	0.52
GP	GP	21	C	2	0.415833333	20min	0.55
GP	GP	21	C	3	0.4375	20min	0.53
RO5AC	GP	21	Cu	1	0.546388889	20min	0.59
GP	GP	21	Cu	1	1.180277778	1h	0.51
GP	GP	21	Cu	2	1.2075	1h	0.44
GP	GP	21	Cu	4	1.233611111	1h	0.47
GP	GP	21	C	1	1.105277778	1h	0.38
GP	GP	21	C	2	1.129722222	1h	0.36
GP	GP	21	C	3	1.154722222	1h	0.36
RO5AC	GP	21	Cu	1	1.289722222	1h	0.5
GP	GP	21	Cu	1	2.96	3h	0.31
GP	GP	21	C	1	3.05	3h	0.04
GP	GP	21	Cu	2	3.14	3h	0.23
GP	GP	21	C	2	3.22	3h	0.1
GP	GP	21	Cu	4	3.32	3h	0.29
GP	GP	21	C	3	3.43	3h	0.04
RO5AC	GP	21	Cu	1	3.53	3h	0.4
GP	GP	39	Cu	1	0	start	0.61
GP	GP	39	Cu	3	0	start	0.61
GP	GP	39	Cu	5	0	start	0.61
GP	GP	39	C	1	0	start	0.61
GP	GP	39	C	2	0	start	0.61
GP	GP	39	C	3	0	start	0.61
RO5AC	GP	39	Cu	1	0	start	0.61
GP	GP	39	Cu	1	0.354444444	20min	0.54
GP	GP	39	Cu	3	0.386666667	20min	0.62
GP	GP	39	Cu	5	0.405555556	20min	0.55
GP	GP	39	C	1	0.292777778	20min	0.53
GP	GP	39	C	2	0.312777778	20min	0.56
GP	GP	39	C	3	0.336388889	20min	0.57
RO5AC	GP	39	Cu	1	0.446111111	20min	0.55
GP	GP	39	Cu	1	1.079166667	1h	0.54
GP	GP	39	Cu	3	1.107777778	1h	0.45
GP	GP	39	Cu	5	1.134444444	1h	0.51
GP	GP	39	C	1	0.993055556	1h	0.42
GP	GP	39	C	2	1.022222222	1h	0.41
GP	GP	39	C	3	1.049722222	1h	0.38
RO5AC	GP	39	Cu	1	1.195555556	1h	0.51
GP	GP	39	Cu	1	2.579166667	3h	0.22
GP	GP	39	C	1	2.483611111	3h	0.14
GP	GP	39	Cu	3	2.749444444	3h	0.34
GP	GP	39	C	2	2.666111111	3h	0.13
GP	GP	39	Cu	5	2.984444444	3h	0.31
GP	GP	39	C	3	2.829722222	3h	0.095
RO5AC	GP	39	Cu	1	3.07	3h	0.36
VG	VG	3	Cu	1	0	start	0.61
VG	VG	3	Cu	2	0	start	0.61
VG	VG	3	Cu	3	0	start	0.61
VG	VG	3	C	1	0	start	0.61
VG	VG	3	C	2	0	start	0.61
VG	VG	3	C	3	0	start	0.61
RO5AC	VG	3	C	2	0	start	0.61
RO5AC	VG	3	Cu	2	0	start	0.61
VG	VG	3	Cu	1	0.409722222	20min	0.58
VG	VG	3	Cu	2	0.4325	20min	0.54
VG	VG	3	Cu	3	0.450555556	20min	0.56
VG	VG	3	C	1	0.329444444	20min	0.53
VG	VG	3	C	2	0.350555556	20min	0.5
VG	VG	3	C	3	0.368611111	20min	0.54
RO5AC	VG	3	C	2	0.388888889	20min	0.42
RO5AC	VG	3	Cu	2	0.469166667	20min	0.52
VG	VG	3	Cu	1	1.059722222	1h	0.47
VG	VG	3	Cu	2	1.078333333	1h	0.44
VG	VG	3	Cu	3	1.101388889	1h	0.48
VG	VG	3	C	1	0.9725	1h	0.37
VG	VG	3	C	2	0.990555556	1h	0.38
VG	VG	3	C	3	1.009444444	1h	0.34
RO5AC	VG	3	C	2	1.029166667	1h	0.38
RO5AC	VG	3	Cu	2	1.128333333	1h	0.51
VG	VG	3	Cu	1	2.988611111	3h	0.15
VG	VG	3	Cu	2	3.006666667	3h	0.14
VG	VG	3	Cu	3	3.0275	3h	0.05
VG	VG	3	C	1	2.889166667	3h	0.16
VG	VG	3	C	2	2.908055556	3h	0.07
VG	VG	3	C	3	2.935833333	3h	0.05
RO5AC	VG	3	C	2	2.9575	3h	0.16
RO5AC	VG	3	Cu	2	3.050277778	3h	0.38
VG	VG	21	Cu	1	0	start	0.61
VG	VG	21	Cu	2	0	start	0.61
VG	VG	21	Cu	3	0	start	0.61
VG	VG	21	C	1	0	start	0.61
VG	VG	21	C	2	0	start	0.61
VG	VG	21	C	3	0	start	0.61
RO5AC	VG	21	C	2	0	start	0.61
RO5AC	VG	21	Cu	2	0	start	0.61
VG	VG	21	Cu	1	0.351388889	20min	0.55
VG	VG	21	Cu	2	0.371666667	20min	0.55
VG	VG	21	Cu	3	0.393333333	20min	0.57
VG	VG	21	C	1	0.291944444	20min	0.52
VG	VG	21	C	2	0.312222222	20min	0.55
VG	VG	21	C	3	0.330833333	20min	0.53
RO5AC	VG	21	C	2	0.411944444	20min	0.51
RO5AC	VG	21	Cu	2	0.441944444	20min	0.53
VG	VG	21	Cu	1	1.09	1h	0.51
VG	VG	21	Cu	2	1.109444444	1h	0.46
VG	VG	21	Cu	3	1.128333333	1h	0.5
VG	VG	21	C	1	1.038055556	1h	0.41
VG	VG	21	C	2	1.055277778	1h	0.33
VG	VG	21	C	3	1.073055556	1h	0.33
RO5AC	VG	21	C	2	1.145555556	1h	0.45
RO5AC	VG	21	Cu	2	1.167222222	1h	0.54
VG	VG	21	Cu	1	3.091388889	3h	0.25
VG	VG	21	Cu	2	3.110833333	3h	0.23
VG	VG	21	Cu	3	3.128055556	3h	0.33
VG	VG	21	C	1	3.034166667	3h	0.08
VG	VG	21	C	2	3.054444444	3h	0.11
VG	VG	21	C	3	3.072777778	3h	0.04
RO5AC	VG	21	C	2	3.149722222	3h	0.32
RO5AC	VG	21	Cu	2	3.158611111	3h	0.37
VG	VG	39	Cu	1	0	start	0.61
VG	VG	39	Cu	2	0	start	0.61
VG	VG	39	Cu	3	0	start	0.61
VG	VG	39	C	1	0	start	0.61
VG	VG	39	C	2	0	start	0.61
VG	VG	39	C	3	0	start	0.61
RO5AC	VG	39	C	2	0	start	0.61
RO5AC	VG	39	Cu	2	0	start	0.61
VG	VG	39	Cu	1	0.428888889	20min	0.56
VG	VG	39	Cu	2	0.4475	20min	0.57
VG	VG	39	Cu	3	0.468055556	20min	0.56
VG	VG	39	C	1	0.340833333	20min	0.55
VG	VG	39	C	2	0.364444444	20min	0.54
VG	VG	39	C	3	0.384722222	20min	0.54
RO5AC	VG	39	C	2	0.407222222	20min	0.56
RO5AC	VG	39	Cu	2	0.488333333	20min	0.56
VG	VG	39	Cu	1	1.114722222	1h	0.5
VG	VG	39	Cu	2	1.138333333	1h	0.52
VG	VG	39	Cu	3	1.161111111	1h	0.54
VG	VG	39	C	1	1.020833333	1h	0.41
VG	VG	39	C	2	1.044444444	1h	0.39
