Experiment	Population	Treatment	Bottel	Timepoint	EC50	EC50SE	Growth_rate9days	Generations_past	Dominant_strain(%)	Second_strain	BarcodeSampleContaminated_t42
GP	GP	Control	GP_C1	42	10.86683597	0.145887248	1.617635646	106.709657	GP2-4_40(58%)	Six_4-17%	No
GP	GP	Control	GP_C2	42	11.13985883	0.272658104	1.644860007	107.602553	GP2-4_40(65%)	Three_4-13%	No
GP	GP	Control	GP_C3	42	10.63235741	0.354074559	1.734162977	112.548578	GP2-4_40(90%)	Three_around_4%	No
GP	GP	Control	GP_C4	42	10.3812259	0.245172217	1.676263545	110.55457	GP2-4_40(78%)	Three_around_6%	No
GP	GP	Control	GP_C5	42	11.62234564	0.172193161	1.71156922	105.657698	GP2-4_40(37%)	Five_6-25%	No
GP	GP	Copper	GP_Cu1	42	15.55567116	0.589963384	0.587701793	52.8156518	GP2-4_27(93%)	GP2-4_44(4%)	No
GP	GP	Copper	GP_Cu2	42	14.19688207	0.271610352	0.497796489	54.1624255	GP2-4_27(94%)	GP2-4_44(5%)	No
GP	GP	Copper	GP_Cu3	42	16.15340654	NA	0.458088829	46.3162656	GP2-4_57(78%)	GP2-4_27(10%)	No
GP	GP	Copper	GP_Cu4	42	15.34106459	0.287530661	0.634181799	59.1160441	GP2-4_27(97%)	GP2-4_44(3%)	No
GP	GP	Copper	GP_Cu5	42	13.63452257	0.412236377	0.472439817	57.1642937	GP2-4_27(94%)	GP2-4_44(6%)	No
GP	RO5AC	Control	RO5AC_GP_C	42	NA	NA	1.604795552	NA	GP2-4_40(80%)	Three_around_4%	Yes
GP	RO5AC	Copper	RO5AC_GP_Cu	42	14.24875086	0.189256381	0.798934342	65.8579238	RO5AC(100%)	NA	No
VG	VG	Control	VG_C1	42	11.8819329	0.051019972	1.698316767	105.097294	VG1-2_103(90%)	VG1-2_74(6%)	No
VG	VG	Control	VG_C2	42	11.65643171	0.072426838	1.708612493	105.6127433	VG1-2_103(89%)	VG1-2_74(7%)	No
VG	VG	Control	VG_C3	42	12.11112979	0.053758404	1.766021617	108.2068685	VG1-2_103(91%)	VG1-2_74(8%)	No
VG	VG	Control	VG_C4	42	11.779276	0.047617033	1.756357753	108.6520868	VG1-2_103(22%)	VG1-2_81(17%)	Yes
VG	VG	Control	VG_C5	42	11.49510236	0.063347697	1.797539853	109.792651	VG1-2_103(48%)	VG1-2_81(10%)	Yes
VG	VG	Copper	VG_Cu1	42	14.36852039	0.196272845	0.662197547	52.20190197	VG1-2_74(72%)	VG1-2_81(28%)	No
VG	VG	Copper	VG_Cu2	42	14.33900506	0.185605838	0.55828287	43.98606929	VG1-2_81(20%)	VG1-2_95(17%)	Yes
VG	VG	Copper	VG_Cu3	42	14.32513712	0.173176786	0.65754798	54.07894939	VG1-2_81(75%)	VG1-2_74(10%)	No
VG	VG	Copper	VG_Cu4	42	14.2215814	0.188643495	0.55492287	53.48978293	VG1-2_81(95%)	VG1-2_74(4%)	No
VG	VG	Copper	VG_Cu5	42	14.31618367	0.195769562	0.48700007	40.26212412	VG1-2_81(60%)	VG1-2_74(20%)	Yes
VG	RO5AC	Control	RO5AC_VG_C	42	13.1450389	0.056155326	1.62726299	98.37431676	RO5AC(100%)	NA	No
VG	RO5AC	Copper	RO5AC_VG_Cu	42	14.85934126	0.089016568	0.326634137	25.07028483	RO5AC(100%)	NA	No
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
