Experiment	Population	Treatment	Bottel	Rep	Timepoint	EC50n	EC50SEn	EC50a	EC50SEa
GP	RO5AC	Control	RO5AC_GP_C	1	0			8.412472	0.11213388
GP	RO5AC	Copper	RO5AC_GP_Cu	1	0			8.412472	0.11213388
GP	GP	Control	GP_C1	1	0			7.789607	0.14203852
GP	GP	Copper	GP_Cu1	1	0			7.789607	0.14203852
VG	RO5AC	Control	RO5AC_VG_C	2	0			8.334173	0.07649862
VG	RO5AC	Copper	RO5AC_VG_Cu	2	0			8.334173	0.07649862
VG	VG	Control	VG_C1	1	0			8.001434	0.09287336
VG	VG	Copper	VG_Cu1	1	0			8.001434	0.09287336
GP	GP	Control	GP_C1	1	30	11.03168767	0.077626718	7.617589109	0.054602633
GP	GP	Control	GP_C2	2	30	11.14345495	0.094927402	7.696206209	0.066771934
GP	GP	Control	GP_C3	3	30	10.66643666	0.126832178	7.36067155	0.089213754
GP	GP	Copper	GP_Cu1	1	30	13.75233867	0.073106158	9.531295018	0.051422871
GP	GP	Copper	GP_Cu2	2	30	12.78664221	0.201434378	8.85202413	0.141688942
GP	GP	Copper	GP_Cu3	3	30	13.56972116	0.108636595	9.40284186	0.076414981
GP	RO5AC	Control	RO5AC_GP_C	1	30	NA	NA	NA	NA
GP	RO5AC	Copper	RO5AC_GP_Cu	1	30	14.981975	0.120960134	10.39622122	0.085083358
VG	VG	Control	VG_C1	1	30	11.52943311	0.071107316	7.967703251	0.050016886
VG	VG	Control	VG_C2	2	30	11.60916429	0.066537133	8.023786162	0.046802219
VG	VG	Control	VG_C3	3	30	11.50390728	0.067821726	7.949748378	0.047705802
VG	VG	Copper	VG_Cu1	1	30	14.03641827	0.20158934	9.731116611	0.141797942
VG	VG	Copper	VG_Cu2	2	30	14.85862231	0.085729178	10.30945494	0.060301904
VG	VG	Copper	VG_Cu3	3	30	15.5799849	0.148427027	10.81686138	0.104403571
VG	RO5AC	Control	RO5AC_VG_C	2	30	12.05140098	0.108429151	8.334855453	0.076269065
VG	RO5AC	Copper	RO5AC_VG_Cu	2	30	15.16313103	0.148160052	10.52364637	0.104215781
GP	GP	Control	GP_C1	1	42	10.86683597	0.145887248	7.501632422	0.10261709
GP	GP	Control	GP_C2	2	42	11.13985883	0.272658104	7.693676701	0.19178771
GP	GP	Control	GP_C3	3	42	10.63235741	0.354074559	7.336700205	0.249056045
GP	GP	Control	GP_C4	4	42	10.3812259	0.245172217	7.160054301	0.172454137
GP	GP	Control	GP_C5	5	42	11.62234564	0.172193161	8.033057926	0.12112067
GP	GP	Copper	GP_Cu1	1	42	15.55567116	0.589963384	10.7997591	0.414980244
GP	GP	Copper	GP_Cu2	2	42	14.19688207	0.271610352	9.843986849	0.191050721
GP	GP	Copper	GP_Cu3	3	42	16.15340654	0.32190018	11.22020616	0.226424586
GP	GP	Copper	GP_Cu4	4	42	15.34106459	0.287530661	10.64880483	0.202249067
GP	GP	Copper	GP_Cu5	5	42	13.63452257	0.412236377	9.448423174	0.289967068
GP	RO5AC	Control	RO5AC_GP_C	1	42	NA	NA	NA	NA
GP	RO5AC	Copper	RO5AC_GP_Cu	1	42	14.24875086	0.189256381	9.880471356	0.133122938
VG	VG	Control	VG_C1	1	42	11.8819329	0.051019972	8.215651605	0.035887448
VG	VG	Control	VG_C2	2	42	11.65643171	0.072426838	8.057034068	0.050945038
VG	VG	Control	VG_C3	3	42	12.11112979	0.053758404	8.376868693	0.037813661
VG	VG	Control	VG_C4	4	42	11.779276	0.047617033	8.14344274	0.033493821
VG	VG	Control	VG_C5	5	42	11.49510236	0.063347697	7.943554998	0.04455877
VG	VG	Copper	VG_Cu1	1	42	14.36852039	0.196272845	9.964717242	0.138058319
VG	VG	Copper	VG_Cu2	2	42	14.33900506	0.185605838	9.943956159	0.130555147
VG	VG	Copper	VG_Cu3	3	42	14.32513712	0.173176786	9.934201448	0.121812551
VG	VG	Copper	VG_Cu4	4	42	14.2215814	0.188643495	9.861360359	0.132691835
VG	VG	Copper	VG_Cu5	5	42	14.31618367	0.195769562	9.927903592	0.13770431
VG	RO5AC	Control	RO5AC_VG_C	2	42	13.1450389	0.056155326	9.104120364	0.039499656
VG	RO5AC	Copper	RO5AC_VG_Cu	2	42	14.85934126	0.089016568	10.30996064	0.062614254
VG	RO5AC	Copper	RO5AC_VG_Cu	2	45	13.61026212	0.062889473	9.431358374	0.044236455
VG	VG	Copper	VG_Cu1	1	45	14.09655647	0.123530917	9.773417822	0.086891647
VG	VG	Copper	VG_Cu2	2	45	14.51960771	0.164522942	10.07099206	0.115725438
VG	VG	Copper	VG_Cu3	3	45	15.0194199	0.168738316	10.42255996	0.118690532
VG	VG	Copper	VG_Cu4	4	45	14.1462843	0.275760907	9.808396378	0.193970222
VG	VG	Copper	VG_Cu5	5	45	13.71373206	0.187077072	9.504139133	0.131590012
GP	GP	Copper	GP_Cu1	1	45	13.10108277	0.311344955	9.073201619	0.219000042
GP	GP	Copper	GP_Cu2	2	45	12.91366382	0.206992679	8.941371132	0.14559865
GP	GP	Copper	GP_Cu3	3	45	13.27109023	0.259360364	9.192784866	0.18243408
GP	GP	Copper	GP_Cu4	4	45	11.97910534	0.167037306	8.284002693	0.117494041
GP	GP	Copper	GP_Cu5	5	45	12.16413675	0.432008427	8.414153787	0.303874728
GP	RO5AC	Copper	RO5AC_GP_Cu	1	45	12.68725185	0.14366275	8.782112954	0.101052379
