Experiment	Population	Treatment	Bottel	Rep	Timepoint	Parameter	Value
VG	VG	Control	VG_C1	1	1.5	Rate	1.68633286
VG	VG	Control	VG_C2	2	1.5	Rate	1.69115814
VG	VG	Control	VG_C3	3	1.5	Rate	1.73398353
VG	VG	Control	VG_C4	4	1.5	Rate	1.71507637
VG	VG	Control	VG_C5	5	1.5	Rate	1.81600029
VG	VG	Copper	VG_Cu1	1	1.5	Rate	0.62680695
VG	VG	Copper	VG_Cu2	2	1.5	Rate	0.62835259
VG	VG	Copper	VG_Cu3	3	1.5	Rate	0.67751953
VG	VG	Copper	VG_Cu4	4	1.5	Rate	0.65284408
VG	VG	Copper	VG_Cu5	5	1.5	Rate	0.69680213
VG	RO5AC	Control	RO5AC_VG_C	2	1.5	Rate	1.55939075
VG	RO5AC	Copper	RO5AC_VG_Cu	2	1.5	Rate	0.76650928
GP	GP	Control	GP_C1	1	1.5	Rate	1.520578655
GP	GP	Control	GP_C2	2	1.5	Rate	1.519101474
GP	GP	Control	GP_C3	3	1.5	Rate	1.640009982
GP	GP	Control	GP_C4	4	1.5	Rate	1.578313077
GP	GP	Control	GP_C5	5	1.5	Rate	1.64369441
GP	GP	Copper	GP_Cu1	1	1.5	Rate	0.840686817
GP	GP	Copper	GP_Cu2	2	1.5	Rate	0.633212175
GP	GP	Copper	GP_Cu3	3	1.5	Rate	0.674262919
GP	GP	Copper	GP_Cu4	4	1.5	Rate	0.755199629
GP	GP	Copper	GP_Cu5	5	1.5	Rate	0.64172233
GP	RO5AC	Control	RO5AC_GP_C	1	1.5	Rate	1.455582976
GP	RO5AC	Copper	RO5AC_GP_Cu	1	1.5	Rate	0.824140492
VG	VG	Control	VG_C1	1	4.5	Rate	1.66710082
VG	VG	Control	VG_C2	2	4.5	Rate	1.72085948
VG	VG	Control	VG_C3	3	4.5	Rate	1.59270737
VG	VG	Control	VG_C4	4	4.5	Rate	1.66362722
VG	VG	Control	VG_C5	5	4.5	Rate	1.48764149
VG	VG	Copper	VG_Cu1	1	4.5	Rate	0.42796877
VG	VG	Copper	VG_Cu2	2	4.5	Rate	0.39822367
VG	VG	Copper	VG_Cu3	3	4.5	Rate	0.68059291
VG	VG	Copper	VG_Cu4	4	4.5	Rate	0.61358698
VG	VG	Copper	VG_Cu5	5	4.5	Rate	0.32619519
VG	RO5AC	Control	RO5AC_VG_C	2	4.5	Rate	1.65865756
VG	RO5AC	Copper	RO5AC_VG_Cu	2	4.5	Rate	0.52282043
GP	GP	Control	GP_C1	1	4.5	Rate	1.672913128
GP	GP	Control	GP_C2	2	4.5	Rate	1.7307723
GP	GP	Control	GP_C3	3	4.5	Rate	1.744260538
GP	GP	Control	GP_C4	4	4.5	Rate	1.707933317
GP	GP	Control	GP_C5	5	4.5	Rate	1.779444029
GP	GP	Copper	GP_Cu1	1	4.5	Rate	0.495951285
GP	GP	Copper	GP_Cu2	2	4.5	Rate	0.519319621
GP	GP	Copper	GP_Cu3	3	4.5	Rate	0.424713945
GP	GP	Copper	GP_Cu4	4	4.5	Rate	0.374879737
GP	GP	Copper	GP_Cu5	5	4.5	Rate	0.483322847
GP	RO5AC	Control	RO5AC_GP_C	1	4.5	Rate	1.507041405
GP	RO5AC	Copper	RO5AC_GP_Cu	1	4.5	Rate	0.641625508
VG	VG	Control	VG_C1	1	7.5	Rate	1.74151662
VG	VG	Control	VG_C2	2	7.5	Rate	1.71381986
VG	VG	Control	VG_C3	3	7.5	Rate	1.97137395
VG	VG	Control	VG_C4	4	7.5	Rate	1.89036967
VG	VG	Control	VG_C5	5	7.5	Rate	2.08897778
VG	VG	Copper	VG_Cu1	1	7.5	Rate	0.93181692
VG	VG	Copper	VG_Cu2	2	7.5	Rate	0.64827235
VG	VG	Copper	VG_Cu3	3	7.5	Rate	0.6145315
VG	VG	Copper	VG_Cu4	4	7.5	Rate	0.39833755
VG	VG	Copper	VG_Cu5	5	7.5	Rate	0.43800289
VG	RO5AC	Control	RO5AC_VG_C	2	7.5	Rate	1.66374066
VG	RO5AC	Copper	RO5AC_VG_Cu	2	7.5	Rate	-0.3094273
GP	GP	Control	GP_C1	1	7.5	Rate	1.659415156
GP	GP	Control	GP_C2	2	7.5	Rate	1.684706248
GP	GP	Control	GP_C3	3	7.5	Rate	1.818218411
GP	GP	Control	GP_C4	4	7.5	Rate	1.742544242
GP	GP	Control	GP_C5	5	7.5	Rate	1.726221014
GP	GP	Copper	GP_Cu1	1	7.5	Rate	0.426467278
GP	GP	Copper	GP_Cu2	2	7.5	Rate	0.340857672
GP	GP	Copper	GP_Cu3	3	7.5	Rate	0.275289624
GP	GP	Copper	GP_Cu4	4	7.5	Rate	0.77246603
GP	GP	Copper	GP_Cu5	5	7.5	Rate	0.292274272
GP	RO5AC	Control	RO5AC_GP_C	1	7.5	Rate	1.851762274
GP	RO5AC	Copper	RO5AC_GP_Cu	1	7.5	Rate	0.931037025
VG	VG	Control	VG_C1	1	10.5	Rate	1.58089862
VG	VG	Control	VG_C2	2	10.5	Rate	1.58747259
VG	VG	Control	VG_C3	3	10.5	Rate	1.62171272
VG	VG	Control	VG_C4	4	10.5	Rate	1.61004993
VG	VG	Control	VG_C5	5	10.5	Rate	1.60155295
VG	VG	Copper	VG_Cu1	1	10.5	Rate	0.64085079
VG	VG	Copper	VG_Cu2	2	10.5	Rate	0.76824136
VG	VG	Copper	VG_Cu3	3	10.5	Rate	0.2573849
VG	VG	Copper	VG_Cu4	4	10.5	Rate	0.50527006
VG	VG	Copper	VG_Cu5	5	10.5	Rate	0.40037854
VG	RO5AC	Control	RO5AC_VG_C	2	10.5	Rate	1.52907505
VG	RO5AC	Copper	RO5AC_VG_Cu	2	10.5	Rate	NA
GP	GP	Control	GP_C1	1	10.5	Rate	1.66640678
GP	GP	Control	GP_C2	2	10.5	Rate	1.628023737
GP	GP	Control	GP_C3	3	10.5	Rate	1.587289186
GP	GP	Control	GP_C4	4	10.5	Rate	1.684062433
GP	GP	Control	GP_C5	5	10.5	Rate	1.578326328
GP	GP	Copper	GP_Cu1	1	10.5	Rate	0.153066168
GP	GP	Copper	GP_Cu2	2	10.5	Rate	0.755560292
GP	GP	Copper	GP_Cu3	3	10.5	Rate	0.429992186
GP	GP	Copper	GP_Cu4	4	10.5	Rate	0.33385944
GP	GP	Copper	GP_Cu5	5	10.5	Rate	0.365892954
GP	RO5AC	Control	RO5AC_GP_C	1	10.5	Rate	1.650023662
GP	RO5AC	Copper	RO5AC_GP_Cu	1	10.5	Rate	0.655091818
