Strain	Growth_Rate	High	Low
GP2-4_26	1.407856773	1.592106276	1.22360727
GP2-4_27	1.529346538	1.678140479	1.380552597
GP2-4_28	1.504818524	1.548124168	1.46151288
GP2-4_29	1.298249253	1.37401934	1.222479166
GP2-4_31	1.149735581	1.310836235	0.988634927
GP2-4_32	1.169317308	1.329676767	1.008957849
GP2-4_71	0.778128553	1.137017166	0.41923994
GP2-4_39	1.484476775	1.56504808	1.40390547
GP2-4_40	1.324608547	1.445550284	1.20366681
GP2-4_72	1.579373478	1.644731068	1.514015888
GP2-4_42	0.063047713	0.242285822	-0.116190396
GP2-4_43	1.519814235	1.66546603	1.37416244
GP2-4_44	1.305513755	1.422326948	1.188700562
GP2-4_45	1.433682753	1.656450253	1.210915253
GP2-4_46	1.595340198	1.663728173	1.526952223
GP2-4_47	1.542451182	1.654959655	1.429942709
GP2-4_51	0.782936704	0.948541065	0.617332343
GP2-4_52	1.510461208	1.570403836	1.45051858
GP2-4_54	1.260399648	1.435035983	1.085763313
GP2-4_55	1.398489283	1.477021161	1.319957405
GP2-4_56	1.106186148	1.445633815	0.766738481
GP2-4_57	1.277305636	1.31955552	1.235055752
GP2-4_61	1.487688258	1.56504809	1.410328426
GP2-4_63	1.546746187	1.629254341	1.464238033
GP2-4_67	1.551822938	1.644882168	1.458763708
GP2-4_68	1.414518041	1.526590499	1.302445583
GP2-4_69	1.524050089	1.664637188	1.38346299
GP2-4_70	1.460262023	1.525828599	1.394695447
VG1-2_44	1.584569991	1.610552059	1.558587923
VG1-2_45	1.328569725	1.414665922	1.242473528
VG1-2_49	1.483911662	1.585538592	1.382284732
VG1-2_56	1.626721304	1.690563112	1.562879496
VG1-2_58	1.520942903	1.586152038	1.455733768
VG1-2_61	1.6109705	1.692567107	1.529373893
VG1-2_63	0.568659565	0.656511366	0.480807764
VG1-2_64	1.581928041	1.633836823	1.530019259
VG1-2_65	1.443195267	1.506802467	1.379588067
VG1-2_66	1.370281279	1.468995842	1.271566716
VG1-2_67	1.676851461	1.743643559	1.610059363
VG1-2_72	1.739190374	1.789481591	1.688899157
VG1-2_74	1.887243718	1.939628908	1.834858528
VG1-2_78	1.854203084	1.884031406	1.824374762
VG1-2_81	1.783334116	1.842812632	1.7238556
VG1-2_83	1.684539295	1.759154642	1.609923948
VG1-2_85	1.50883097	1.649977974	1.367683966
VG1-2_86	1.536579674	1.635332587	1.437826761
VG1-2_88	1.46297308	1.67623935	1.24970681
VG1-2_89	0.697779429	0.883366255	0.512192603
VG1-2_90	1.533480638	1.599528328	1.467432948
VG1-2_93	1.359448225	1.578955615	1.139940835
VG1-2_94	1.42832058	1.488112357	1.368528803
VG1-2_95	1.416569635	1.502137795	1.331001475
VG1-2_99	1.593281588	1.649393218	1.537169958
VG1-2_103	1.86078132	1.926681839	1.794880801
VG1-2_104	1.58298271	1.722977073	1.442988347
VG1-2_105	1.549503587	1.748074269	1.350932905
VG1-2_106	1.31594626	1.578694627	1.053197893
VG1-2_107	1.72430081	1.811574476	1.637027144
