"Population"	"Treatment"	"Strain"	"Barcode_mean"	"Barcode_N"	"Barcode_High"	"Barcode_Low"	"Growth_Rate"	"High"	"Low"
"1"	"GP"	"Control"	"GP2-4_26"	1.70264618417037	1	NA	NA	1.407856773	1.592106276	1.22360727
"2"	"GP"	"Control"	"GP2-4_27"	1.61485180548482	1	NA	NA	1.529346538	1.678140479	1.380552597
"3"	"GP"	"Control"	"GP2-4_28"	1.74322574444571	1	NA	NA	1.504818524	1.548124168	1.46151288
"4"	"GP"	"Control"	"GP2-4_29"	1.22808851027012	1	NA	NA	1.298249253	1.37401934	1.222479166
"5"	"GP"	"Control"	"GP2-4_31"	1.71118420644983	1	NA	NA	1.149735581	1.310836235	0.988634927
"6"	"GP"	"Control"	"GP2-4_32"	1.30687966689493	1	NA	NA	1.169317308	1.329676767	1.008957849
"7"	"GP"	"Control"	"GP2-4_39"	1.69451024646302	1	NA	NA	1.484476775	1.56504808	1.40390547
"8"	"GP"	"Control"	"GP2-4_40"	1.94701836606914	1	NA	NA	1.324608547	1.445550284	1.20366681
"9"	"GP"	"Control"	"GP2-4_42"	1.03514685751877	1	NA	NA	0.063047713	0.242285822	-0.116190396
"10"	"GP"	"Control"	"GP2-4_43"	1.77520986532425	1	NA	NA	1.519814235	1.66546603	1.37416244
"11"	"GP"	"Control"	"GP2-4_44"	1.23778944543196	1	NA	NA	1.305513755	1.422326948	1.188700562
"12"	"GP"	"Control"	"GP2-4_45and46"	1.49457363682555	1	NA	NA	NA	NA	NA
"13"	"GP"	"Control"	"GP2-4_47"	1.2433277298171	1	NA	NA	1.542451182	1.654959655	1.429942709
"14"	"GP"	"Control"	"GP2-4_51"	1.36015281208425	1	NA	NA	0.782936704	0.948541065	0.617332343
"15"	"GP"	"Control"	"GP2-4_52"	1.61000696547873	1	NA	NA	1.510461208	1.570403836	1.45051858
"16"	"GP"	"Control"	"GP2-4_54"	1.04243640637162	1	NA	NA	1.260399648	1.435035983	1.085763313
"17"	"GP"	"Control"	"GP2-4_55"	1.52351542095059	1	NA	NA	1.398489283	1.477021161	1.319957405
"18"	"GP"	"Control"	"GP2-4_56"	1.62750426909317	1	NA	NA	1.106186148	1.445633815	0.766738481
"19"	"GP"	"Control"	"GP2-4_57"	1.15768295506069	1	NA	NA	1.277305636	1.31955552	1.235055752
"20"	"GP"	"Control"	"GP2-4_61"	1.76833892699382	1	NA	NA	1.487688258	1.56504809	1.410328426
"21"	"GP"	"Control"	"GP2-4_63"	1.67713259491966	1	NA	NA	1.546746187	1.629254341	1.464238033
"22"	"GP"	"Control"	"GP2-4_67"	1.60664945344519	1	NA	NA	1.551822938	1.644882168	1.458763708
"23"	"GP"	"Control"	"GP2-4_68"	1.2818413746636	1	NA	NA	1.414518041	1.526590499	1.302445583
"24"	"GP"	"Control"	"GP2-4_69"	1.81813787582792	1	NA	NA	1.524050089	1.664637188	1.38346299
"25"	"GP"	"Control"	"GP2-4_70"	1.62817478902959	1	NA	NA	1.460262023	1.525828599	1.394695447
"26"	"GP"	"Control"	"GP2-4_71"	1.67522341579998	1	NA	NA	0.778128553	1.137017166	0.41923994
"27"	"GP"	"Control"	"GP2-4_72"	1.51219773011924	1	NA	NA	1.579373478	1.644731068	1.514015888
"28"	"VG"	"Control"	"VG1-2_103"	1.82671376892355	5	1.8547930427631	1.79863449508399	1.86078132	1.926681839	1.794880801
"29"	"VG"	"Control"	"VG1-2_104"	1.32426227451129	5	1.46323721833349	1.18528733068909	1.58298271	1.722977073	1.442988347
"30"	"VG"	"Control"	"VG1-2_105"	1.32426227451129	5	1.46323721833349	1.18528733068909	1.549503587	1.748074269	1.350932905
"31"	"VG"	"Control"	"VG1-2_106"	1.38058623344102	5	1.483678598084	1.27749386879804	1.31594626	1.578694627	1.053197893
"32"	"VG"	"Control"	"VG1-2_107"	1.86416200268266	5	1.91502485929593	1.81329914606938	1.72430081	1.811574476	1.637027144
