Local;strain;Date;Wait time (h);Incubation Position;Light intensity;Control growth rate (day-1);S.D.;RO5 Spation control growth rate (day-1);Start Density (RFU);Concentration;Well position;Growth_rate;Inhibition RAW;Inhibition;Replicate;Running ID
GP;GP2-4_26;43388;4.5;G6;168;1.360477626;0.205997207;1.332759775;0.003191346;17.5;A01;-0.465683077;1.342293815;1;1;GP_1
GP;GP2-4_26;43388;4.5;G6;168;1.360477626;0.205997207;1.332759775;0.003191346;16.20266667;A02;-0.257113579;1.18898773;1;2;GP_1
GP;GP2-4_26;43388;4.5;G6;168;1.360477626;0.205997207;1.332759775;0.003191346;15.00150898;A03;-0.715154355;1.525664179;1;3;GP_1
GP;GP2-4_26;43388;4.5;G6;168;1.360477626;0.205997207;1.332759775;0.003191346;13.88939711;A05;-0.574486881;1.422268525;1;4;GP_1
GP;GP2-4_26;43388;4.5;G6;168;1.360477626;0.205997207;1.332759775;0.003191346;12.85972981;A06;-0.445976922;1.327809082;1;5;GP_1
GP;GP2-4_26;43388;4.5;G6;168;1.360477626;0.205997207;1.332759775;0.003191346;11.90639517;B02;0.834344842;0.386726524;0.386726524;6;GP_1
GP;GP2-4_26;43388;4.5;G6;168;1.360477626;0.205997207;1.332759775;0.003191346;11.02373441;B03;0.922112022;0.32221449;0.32221449;7;GP_1
GP;GP2-4_26;43388;4.5;G6;168;1.360477626;0.205997207;1.332759775;0.003191346;10.20650823;B04;0.588378392;0.567520715;0.567520715;8;GP_1
GP;GP2-4_26;43388;4.5;G6;168;1.360477626;0.205997207;1.332759775;0.003191346;9.449865754;B05;-0.038264315;1.028125648;1;9;GP_1
GP;GP2-4_26;43388;4.5;G6;168;1.360477626;0.205997207;1.332759775;0.003191346;8.749315706;C01;1.365927062;-0.004005531;-0.004005531;10;GP_1
GP;GP2-4_26;43388;4.5;G6;168;1.360477626;0.205997207;1.332759775;0.003191346;8.100699768;C02;1.4928318;-0.097285079;-0.097285079;11;GP_1
GP;GP2-4_26;43388;4.5;G6;168;1.360477626;0.205997207;1.332759775;0.003191346;7.500167892;C05;1.303028714;0.042227017;0.042227017;12;GP_1
GP;GP2-4_26;43388;4.5;G6;168;1.360477626;0.205997207;1.332759775;0.003191346;15.00150898;C06;-1.009585473;1.742081644;1;3;GP_1
GP;GP2-4_26;43388;4.5;G6;168;1.360477626;0.205997207;1.332759775;0.003191346;12.85972981;D01;0.217110266;0.840416144;0.840416144;5;GP_1
GP;GP2-4_26;43388;4.5;G6;168;1.360477626;0.205997207;1.332759775;0.003191346;11.02373441;D02;0.60887977;0.552451464;0.552451464;7;GP_1
GP;GP2-4_26;43388;4.5;G6;168;1.360477626;0.205997207;1.332759775;0.003191346;15.00150898;D03;-0.128903096;1.094748413;1;3;GP_1
GP;GP2-4_26;43388;4.5;G6;168;1.360477626;0.205997207;1.332759775;0.003191346;12.85972981;D04;0.011454727;0.991580364;0.991580364;5;GP_1
GP;GP2-4_26;43388;4.5;G6;168;1.360477626;0.205997207;1.332759775;0.003191346;11.02373441;D05;0.061503322;0.954792846;0.954792846;7;GP_1
GP;GP2-4_26;43388;4.5;G6;168;1.360477626;0.205997207;1.332759775;0.003191346;0;A04;1.317019369;0.031943382;0.031943382;Control 1;GP_1
GP;GP2-4_26;43388;4.5;G6;168;1.360477626;0.205997207;1.332759775;0.003191346;0;B01;1.576583167;-0.158845347;-0.158845347;Control 2;GP_1
GP;GP2-4_26;43388;4.5;G6;168;1.360477626;0.205997207;1.332759775;0.003191346;0;B06;1.075385948;0.20955264;0.20955264;Control 3;GP_1
GP;GP2-4_26;43388;4.5;G6;168;1.360477626;0.205997207;1.332759775;0.003191346;0;C03;1.546218232;-0.136526028;-0.136526028;Control 4;GP_1
GP;GP2-4_26;43388;4.5;G6;168;1.360477626;0.205997207;1.332759775;0.003191346;0;D06;1.287181414;0.053875353;0.053875353;Control 5;GP_1
GP;GP2-4_27;43388;4.566666667;G5;176;1.528221687;0.166356683;1.395082233;0.004664418;17.5;A01;-0.535366319;1.350319802;1;1;GP_2
