Population	Strain	Time	RFU	SD
GP	GP2-4_42	-3	0.001	
GP	GP2-4_42	0	0.071984631	
GP	GP2-4_42	0	0.001952476	0.000497697
GP	GP2-4_42	1	0.007245907	0.003454832
GP	GP2-4_42	2	0.002059173	0.00076775
GP	GP2-4_42	3	0.00141077	0.001241749
GP	GP2-4_42	4	0.003120277	0.002443627
GP	GP2-4_46	-3	0.001	
GP	GP2-4_46	0	0.251249131	
GP	GP2-4_46	0	0.002897405	0.001251801
GP	GP2-4_46	1	0.013425501	0.002989839
GP	GP2-4_46	2	0.049783624	0.00305167
GP	GP2-4_46	3	0.119799421	0.022955255
GP	GP2-4_46	4	0.52286074	0.030231322
GP	GP2-4_55	-3	0.001	
GP	GP2-4_55	0	0.360360371	
GP	GP2-4_55	0	0.003194206	0.000158104
GP	GP2-4_55	1	0.014933594	0.000325464
GP	GP2-4_55	2	0.024946527	0.000987751
GP	GP2-4_55	3	0.031802532	0.005606125
GP	GP2-4_55	4	0.021065349	0.010922028
VG	VG1-2_63	-2	0.004	
VG	VG1-2_63	0	0.201088196	
VG	VG1-2_63	0	0.005246181	0.000994011
VG	VG1-2_63	1	0.016761162	0.000691743
VG	VG1-2_63	2	0.018623713	0.004443682
VG	VG1-2_63	3	0.009405501	0.002076394
VG	VG1-2_63	4	0.024666039	0.031560634
VG	VG1-2_74	-2	0.004	
VG	VG1-2_74	0	0.187774652	
VG	VG1-2_74	0	0.005040477	0.000425857
VG	VG1-2_74	1	0.014626553	0.000609654
VG	VG1-2_74	2	0.048766826	0.002627158
VG	VG1-2_74	3	0.621277986	0.100552396
VG	VG1-2_74	4	1.601056229	0.101124553
VG	VG1-2_86	-2	0.004	
VG	VG1-2_86	0	0.083274204	
VG	VG1-2_86	0	0.003621016	0.001260528
VG	VG1-2_86	1	0.009532351	0.003094752
VG	VG1-2_86	2	0.042261503	0.004147275
VG	VG1-2_86	3	0.273623128	0.013071932
VG	VG1-2_86	4	0.939687979	0.120577494
VG	RO5AC	-2	0.004	
VG	RO5AC	0	0.078633872	
VG	RO5AC	0	0.004462315	0.000645668
VG	RO5AC	1	0.011658818	0.002952154
VG	RO5AC	2	0.040515675	0.001249672
VG	RO5AC	3	0.266147013	0.019299835
VG	RO5AC	4	1.044482054	0.071501688
GP	RO5AC	-3	0.001	
GP	RO5AC	0	0.104426523	
GP	RO5AC	0	0.00345417	0.001194581
GP	RO5AC	1	0.010673799	0.00384862
GP	RO5AC	2	0.035821663	0.008890715
GP	RO5AC	3	0.176485443	0.042540288
GP	RO5AC	4	0.690922541	0.200061323
