Local;strain;Date;Wait time (h);Incubation Position;Light intensity;Control growth rate (day-1);S.D.;RO5 Spation control growth rate (day-1);Start Density (RFU);Concentration;Well position;Growth_rate;Inhibition RAW;Inhibition;Replicate;Running ID
VG1-2;VG1-2_44;10/15/18;4;A1;170;1.583553533;0.029048835;1.309597146;0.0047;17.5;A01;NA;NA;1;1;VG_1
VG1-2;VG1-2_44;10/15/18;4;A1;170;1.583553533;0.029048835;1.309597146;0.0047;16.2;A02;NA;NA;1;2;VG_1
VG1-2;VG1-2_44;10/15/18;4;A1;170;1.583553533;0.029048835;1.309597146;0.0047;15;A03;-0.97;1.6144;1;3;VG_1
VG1-2;VG1-2_44;10/15/18;4;A1;170;1.583553533;0.029048835;1.309597146;0.0047;13.89;A05;NA;NA;1;4;VG_1
VG1-2;VG1-2_44;10/15/18;4;A1;170;1.583553533;0.029048835;1.309597146;0.0047;12.86;A06;-0.34;1.2176;1;5;VG_1
VG1-2;VG1-2_44;10/15/18;4;A1;170;1.583553533;0.029048835;1.309597146;0.0047;11.91;B02;0.17;0.8957;0.8957;6;VG_1
VG1-2;VG1-2_44;10/15/18;4;A1;170;1.583553533;0.029048835;1.309597146;0.0047;11.02;B03;0.7;0.5585;0.5585;7;VG_1
VG1-2;VG1-2_44;10/15/18;4;A1;170;1.583553533;0.029048835;1.309597146;0.0047;10.21;B04;0.7;0.5555;0.5555;8;VG_1
VG1-2;VG1-2_44;10/15/18;4;A1;170;1.583553533;0.029048835;1.309597146;0.0047;9.45;B05;1.03;0.3501;0.3501;9;VG_1
VG1-2;VG1-2_44;10/15/18;4;A1;170;1.583553533;0.029048835;1.309597146;0.0047;8.75;C01;1.22;0.2317;0.2317;10;VG_1
VG1-2;VG1-2_44;10/15/18;4;A1;170;1.583553533;0.029048835;1.309597146;0.0047;8.1;C02;1.34;0.1533;0.1533;11;VG_1
VG1-2;VG1-2_44;10/15/18;4;A1;170;1.583553533;0.029048835;1.309597146;0.0047;7.5;C05;1.28;0.192;0.192;12;VG_1
VG1-2;VG1-2_44;10/15/18;4;A1;170;1.583553533;0.029048835;1.309597146;0.0047;15;C06;NA;NA;1;3;VG_1
VG1-2;VG1-2_44;10/15/18;4;A1;170;1.583553533;0.029048835;1.309597146;0.0047;12.86;D01;NA;NA;1;5;VG_1
VG1-2;VG1-2_44;10/15/18;4;A1;170;1.583553533;0.029048835;1.309597146;0.0047;11.02;D02;0.53;0.6644;0.6644;7;VG_1
VG1-2;VG1-2_44;10/15/18;4;A1;170;1.583553533;0.029048835;1.309597146;0.0047;15;D03;NA;NA;1;3;VG_1
VG1-2;VG1-2_44;10/15/18;4;A1;170;1.583553533;0.029048835;1.309597146;0.0047;12.86;D04;NA;NA;1;5;VG_1
VG1-2;VG1-2_44;10/15/18;4;A1;170;1.583553533;0.029048835;1.309597146;0.0047;11.02;D05;1.05;0.338;0.338;7;VG_1
VG1-2;VG1-2_44;10/15/18;4;A1;170;1.583553533;0.029048835;1.309597146;0.0047;0;A04;1.56;0.0125;0.0125;Control 1;VG_1
VG1-2;VG1-2_44;10/15/18;4;A1;170;1.583553533;0.029048835;1.309597146;0.0047;0;B01;1.58;0.0009;0.0009;Control 2;VG_1
VG1-2;VG1-2_44;10/15/18;4;A1;170;1.583553533;0.029048835;1.309597146;0.0047;0;B06;1.6;-0.0105;-0.0105;Control 3;VG_1
VG1-2;VG1-2_44;10/15/18;4;A1;170;1.583553533;0.029048835;1.309597146;0.0047;0;C03;1.62;-0.0246;-0.0246;Control 4;VG_1
VG1-2;VG1-2_44;10/15/18;4;A1;170;1.583553533;0.029048835;1.309597146;0.0047;0;D06;1.55;0.0218;0.0218;Control 5;VG_1
VG1-2;VG1-2_45;10/15/18;4.04;B1;172;1.317011976;0.096258474;1.407991056;0.0035;17.5;A01;-0.48;1.3642;1;1;VG_2
VG1-2;VG1-2_45;10/15/18;4.04;B1;172;1.317011976;0.096258474;1.407991056;0.0035;16.2;A02;-0.62;1.4745;1;2;VG_2
VG1-2;VG1-2_45;10/15/18;4.04;B1;172;1.317011976;0.096258474;1.407991056;0.0035;15;A03;-1.61;2.2254;1;3;VG_2
VG1-2;VG1-2_45;10/15/18;4.04;B1;172;1.317011976;0.096258474;1.407991056;0.0035;13.89;A05;-0.05;1.0382;1;4;VG_2
VG1-2;VG1-2_45;10/15/18;4.04;B1;172;1.317011976;0.096258474;1.407991056;0.0035;12.86;A06;0.52;0.6088;0.6088;5;VG_2
VG1-2;VG1-2_45;10/15/18;4.04;B1;172;1.317011976;0.096258474;1.407991056;0.0035;11.91;B02;0.61;0.5368;0.5368;6;VG_2
VG1-2;VG1-2_45;10/15/18;4.04;B1;172;1.317011976;0.096258474;1.407991056;0.0035;11.02;B03;1.02;0.2259;0.2259;7;VG_2
VG1-2;VG1-2_45;10/15/18;4.04;B1;172;1.317011976;0.096258474;1.407991056;0.0035;10.21;B04;0.97;0.2619;0.2619;8;VG_2
VG1-2;VG1-2_45;10/15/18;4.04;B1;172;1.317011976;0.096258474;1.407991056;0.0035;9.45;B05;1.27;0.0345;0.0345;9;VG_2
VG1-2;VG1-2_45;10/15/18;4.04;B1;172;1.317011976;0.096258474;1.407991056;0.0035;8.75;C01;1.21;0.0802;0.0802;10;VG_2
VG1-2;VG1-2_45;10/15/18;4.04;B1;172;1.317011976;0.096258474;1.407991056;0.0035;8.1;C02;1.13;0.1397;0.1397;11;VG_2
VG1-2;VG1-2_45;10/15/18;4.04;B1;172;1.317011976;0.096258474;1.407991056;0.0035;7.5;C05;1.31;0.0021;0.0021;12;VG_2
VG1-2;VG1-2_45;10/15/18;4.04;B1;172;1.317011976;0.096258474;1.407991056;0.0035;15;C06;-0.45;1.3401;1;3;VG_2
VG1-2;VG1-2_45;10/15/18;4.04;B1;172;1.317011976;0.096258474;1.407991056;0.0035;12.86;D01;0.17;0.8703;0.8703;5;VG_2
VG1-2;VG1-2_45;10/15/18;4.04;B1;172;1.317011976;0.096258474;1.407991056;0.0035;11.02;D02;0.7;0.4679;0.4679;7;VG_2
VG1-2;VG1-2_45;10/15/18;4.04;B1;172;1.317011976;0.096258474;1.407991056;0.0035;15;D03;-0.58;1.4403;1;3;VG_2
VG1-2;VG1-2_45;10/15/18;4.04;B1;172;1.317011976;0.096258474;1.407991056;0.0035;12.86;D04;0.23;0.8274;0.8274;5;VG_2
