"Strain"	"Predict"	"Predict_low"	"Predict_high"	"EC05"	"EC05_SE"	"EC05_Low"	"EC05_high"	"EC50"	"EC50_SE"	"EC50_Low"	"EC50_high"	"EC95"	"EC95_SE"	"EC95_Low"	"EC95_high"	"Population"	"Plate.ID"	"Running.ID"	"Incubation_Position"	"Light_Intensity"	"Wait_time"	"RO5_Growth_Rate"	"Growth_Rate"	"SD_Grpwth_Rate."	"pH"	"FvFm"	"Start_Density"	"Pre_Density"	"drc_Normalization"	"Start_density"	"Relative_Start_Density"	"Biovolume"	"Surfacearea"	"Surface_Vol_ratio"	"Diameter"	"Diamter_Length_ratio"	"CuGrowth"	"CuGrowth_L"	"CuGrowth_H"
"1"	"GP2-4_26"	0.845469373965564	0.669602810344498	1.02133593758663	4.22505881152967	0.733783425244664	2.94426158199211	6.06302173355339	7.09969271312485	0.341509253714179	6.42385218447929	7.84663706032705	9.50507575482598	0.748962328934233	8.06844367327771	11.1975083130597	"GP"	"GP_1"	"GP_1"	"G6"	168	4.5	1.332759775	1.407856773	0.205997207	7.99	0.62	0.003191346	0.235907091	"Normal"	21.33928571	4.095621626	208.9244792	193.30625	0.925244618	5	0.775	0.217556988498511	0.465151921236664	-0.0300379442396423
"2"	"GP2-4_27"	0.861746351912171	0.723299932876466	1.00019277094788	6.00023804779323	0.355735088294025	5.30423433259207	6.7875690198988	7.78777824274092	0.134187737575678	7.51366011943473	8.0718969176199	9.01729165117512	0.279972281240201	8.45345633520955	9.6187341009477	"GP"	"GP_2"	"GP_2"	"G5"	176	4.566666667	1.395082233	1.529346538	0.166356683	7.98	0.67	0.004664418	0.209204268	"Low"	17.85714286	3.427298432	377.5001628	283.090625	0.749908617	5.9375	0.733571429	0.211437738068992	0.423170289719744	-0.00029481358176718
"3"	"GP2-4_28"	0.987513714275005	0.958332612818469	1.01669481573154	4.80457779498011	0.283057025626426	4.25056002416915	5.43080621300675	6.77870184715323	0.0957740873223782	6.58242635171858	6.98082990637662	8.22593847004564	0.22243861684947	7.77611841528742	8.7017789723918	"GP"	"GP_3"	"GP_3"	"D2"	186	4.633333333	1.400548033	1.504818524	0.048417182	7.99	0.65	0.002875531	0.171255571	"Normal"	12.55952381	2.410533231	399.0927734	298.790625	0.748674606	6	0.695059524	0.0187895940549292	0.0627018560774479	-0.0251226679675881
"4"	"GP2-4_29"	0.983719715841697	0.571880736326719	1.39555869535668	6.63151108387696	1.88421018418904	3.67279276873432	11.9737055762985	7.76496689635068	0.329840040857604	7.1084514144853	8.48211620023961	8.48522216289379	1.24788364419148	6.24940701365967	11.5209323054639	"GP"	"GP_4"	"GP_4"	"A1"	170	4.7	1.381327366	1.298249253	0.084713533	7.96	0.65	0.003657715	0.151564851	"Low"	25.625	4.91817325	138.6015625	166.0765625	1.198230088	3.5625	0.357827381	0.0211358667471446	0.555805514258747	-0.513533780764465
"5"	"GP2-4_31"	0.694300451548761	0.525645068560844	0.862955834536679	7.1620695776169	0.397464009905504	6.38141191532488	8.03822748245426	8.37585976827978	0.134171829377415	8.10143059212088	8.65958500293981	9.14642856718176	0.195873185329083	8.74802536563143	9.56297587604448	"GP"	"GP_5"	"GP_5"	"A7"	181	4.766666667	1.360107145	1.149735581	0.180116007	7.97	0.64	0.004109117	0.350724251	"Normal"	17.05357143	3.273070003	125.5948893	154.3015625	1.228565615	3.5	0.39375	0.351473647950023	0.545382742698413	0.157564553201631
"6"	"GP2-4_32"	0.587259565487078	0.458648690238448	0.715870440735708	6.7581235203189	0.346264906756511	6.07506336648361	7.51798471236747	8.46916557708847	0.127931127072894	8.20725357698895	8.73943578071524	9.61481738259915	0.25362514510856	9.10158108444872	10.1569949707623	"GP"	"GP_6"	"GP_6"	"A8"	165	4.833333333	1.427749856	1.169317308	0.179287326	7.88	0.63	0.00310282	0.172140171	"Normal"	12.85714286	2.467654871	201.7184245	196.25	0.972890803	4.625	0.57125	0.4826245337874	0.633011456212652	0.332237611362148
"7"	"GP2-4_71"	0.909894831517605	0.585876775470159	1.23391288756505	5.34770809697269	0.897087807620911	3.77276838849303	7.58010536179515	7.40418319271592	0.420142087298242	6.5800331086091	8.33155819224826	8.89030227101072	0.890505144659298	7.21855398628086	10.9492115207772	"GP"	"GP_7"	"GP_7"	"B1"	172	4.9	1.317951488	0.778128553	0.401249668	8.01	0.66	0.003848322	0.215060811	"Normal"	22.14285714	4.249850056	162.1362305	173.4359375	1.069692671	4.125	0.492291667	0.0701134043690272	0.322241105467099	-0.182014296729044
"8"	"GP2-4_39"	0.837534144649341	0.769125435658115	0.905942853640567	5.67109255732583	0.23354705679296	5.20562143863662	6.17818471298205	7.7178168028374	0.0827478422078871	7.54763753188054	7.89183316641312	9.17757330873024	0.169596846178598	8.83156845955934	9.53713400092018	"GP"	"GP_8"	"GP_8"	"B2"	181	4.966666667	1.430498652	1.484476775	0.090081457	7.99	0.65	0.003624119	0.400669051	"Normal"	9.866071429	1.893582384	434.535319	313.509375	0.721481917	6.3125	0.714583333	0.241176788998563	0.342727928703772	0.139625649293354
"9"	"GP2-4_40"	1	1	1	6.90897972983903	0.146001224999615	6.61192856187891	7.21937638324422	7.4381009450902	0.040724124994774	7.3538908103345	7.52327537847073	7.75315465916603	0.0412435191528747	7.66785674698219	7.83940143281965	"GP"	"GP_9"	"GP_9"	"B7"	183	5.033333333	1.338584216	1.324608547	0.135216973	8.01	0.62	0.002472355	0.351796491	"Normal"	15.98214286	3.067432097	222.2122396	198.2125	0.89199632	5.125	0.77	0	0	0
"10"	"GP2-4_72"	0.594698151454936	0.467344637243632	0.72205166566624	5.97224904072566	0.496872668619965	5.02339567038893	7.10032833262506	8.35973334248649	0.173179095308002	8.00723520110433	8.72774931699796	10.0994867536502	0.479238619799913	9.15045155380494	11.1469507365178	"GP"	"GP_10"	"GP_10"	"B8"	167	5.1	1.398114407	1.579373478	0.073072007	7.94	0.63	0.002902517	0.167419331	"Normal"	15.17857143	2.913203667	260.1334635	239.1796875	0.919449902	4.8125	0.478809524	0.640122990176447	0.841261752851876	0.438984227501017
