"Strain"	"Predict"	"Predict_low"	"Predict_high"	"EC05"	"EC05_SE"	"EC05_Low"	"EC05_high"	"EC50"	"EC50_SE"	"EC50_Low"	"EC50_high"	"EC95"	"EC95_SE"	"EC95_Low"	"EC95_high"
"1"	"GP2-4_26"	"0.845469373965564"	"0.669602810344498"	"1.02133593758663"	"4.22505881152967"	"0.733783425244664"	"2.94426158199211"	"6.06302173355339"	"7.09969271312485"	"0.341509253714179"	"6.42385218447929"	"7.84663706032705"	"9.50507575482598"	"0.748962328934233"	"8.06844367327771"	"11.1975083130597"
"2"	"GP2-4_27"	"0.861746351912171"	"0.723299932876466"	"1.00019277094788"	"6.00023804779323"	"0.355735088294025"	"5.30423433259207"	"6.7875690198988"	"7.78777824274092"	"0.134187737575678"	"7.51366011943473"	"8.0718969176199"	"9.01729165117512"	"0.279972281240201"	"8.45345633520955"	"9.6187341009477"
"3"	"GP2-4_28"	"0.987513714275005"	"0.958332612818469"	"1.01669481573154"	"4.80457779498011"	"0.283057025626426"	"4.25056002416915"	"5.43080621300675"	"6.77870184715323"	"0.0957740873223782"	"6.58242635171858"	"6.98082990637662"	"8.22593847004564"	"0.22243861684947"	"7.77611841528742"	"8.7017789723918"
"4"	"GP2-4_29"	"0.983719715841697"	"0.571880736326719"	"1.39555869535668"	"6.63151108387696"	"1.88421018418904"	"3.67279276873432"	"11.9737055762985"	"7.76496689635068"	"0.329840040857604"	"7.1084514144853"	"8.48211620023961"	"8.48522216289379"	"1.24788364419148"	"6.24940701365967"	"11.5209323054639"
"5"	"GP2-4_31"	"0.694300451548761"	"0.525645068560844"	"0.862955834536679"	"7.1620695776169"	"0.397464009905504"	"6.38141191532488"	"8.03822748245426"	"8.37585976827978"	"0.134171829377415"	"8.10143059212088"	"8.65958500293981"	"9.14642856718176"	"0.195873185329083"	"8.74802536563143"	"9.56297587604448"
"6"	"GP2-4_32"	"0.587259565487078"	"0.458648690238448"	"0.715870440735708"	"6.7581235203189"	"0.346264906756511"	"6.07506336648361"	"7.51798471236747"	"8.46916557708847"	"0.127931127072894"	"8.20725357698895"	"8.73943578071524"	"9.61481738259915"	"0.25362514510856"	"9.10158108444872"	"10.1569949707623"
"7"	"GP2-4_71"	"0.909894831517605"	"0.585876775470159"	"1.23391288756505"	"5.34770809697269"	"0.897087807620911"	"3.77276838849303"	"7.58010536179515"	"7.40418319271592"	"0.420142087298242"	"6.5800331086091"	"8.33155819224826"	"8.89030227101072"	"0.890505144659298"	"7.21855398628086"	"10.9492115207772"
"8"	"GP2-4_39"	"0.837534144649341"	"0.769125435658115"	"0.905942853640567"	"5.67109255732583"	"0.23354705679296"	"5.20562143863662"	"6.17818471298205"	"7.7178168028374"	"0.0827478422078871"	"7.54763753188054"	"7.89183316641312"	"9.17757330873024"	"0.169596846178598"	"8.83156845955934"	"9.53713400092018"
"9"	"GP2-4_40"	"1"	"1"	"1"	"6.90897972983903"	"0.146001224999615"	"6.61192856187891"	"7.21937638324422"	"7.4381009450902"	"0.040724124994774"	"7.3538908103345"	"7.52327537847073"	"7.75315465916603"	"0.0412435191528747"	"7.66785674698219"	"7.83940143281965"
"10"	"GP2-4_72"	"0.594698151454936"	"0.467344637243632"	"0.72205166566624"	"5.97224904072566"	"0.496872668619965"	"5.02339567038893"	"7.10032833262506"	"8.35973334248649"	"0.173179095308002"	"8.00723520110433"	"8.72774931699796"	"10.0994867536502"	"0.479238619799913"	"9.15045155380494"	"11.1469507365178"
"11"	"GP2-4_42"	"0.996699432904831"	"0.906836058688791"	"1.08656280712087"	"6.09094301571668"	"1.61984371858023"	"3.50343582434152"	"10.5894866299373"	"7.39349446201633"	"0.4265513769116"	"6.55758075054427"	"8.3359645026604"	"8.24450474930216"	"0.960185583945902"	"6.47110802934682"	"10.5038979805328"
"12"	"GP2-4_43"	"0.864376282225738"	"0.778381053362362"	"0.950371511089114"	"6.05300412140405"	"0.231588971728564"	"5.59005047605917"	"6.55429840046165"	"7.80214478309907"	"0.0864927093860192"	"7.62433089239229"	"7.98410563177169"	"8.99888887832203"	"0.17015169943652"	"8.65190570535643"	"9.3597877510677"
"13"	"GP2-4_44"	"0.681984615838396"	"0.525886905156495"	"0.838082326520296"	"6.56813763744274"	"0.462545373495813"	"5.67334278154483"	"7.60405878606983"	"8.27350068853051"	"0.155355323986891"	"7.95664838841231"	"8.60297078639334"	"9.41986752481184"	"0.309789433842023"	"8.79716183767387"	"10.0866513339565"
"14"	"GP2-4_45"	"0.578865059073057"	"0.463725431358509"	"0.694004686787605"	"5.8789218155541"	"0.482432349054775"	"4.95658715131781"	"6.97288691962351"	"8.39263594872508"	"0.182841571305882"	"8.02088110531341"	"8.7816210267937"	"10.2520245805055"	"0.412159728936618"	"9.42974429977809"	"11.1460082753"
"15"	"GP2-4_46"	"0.749263904202343"	"0.654881201482042"	"0.843646606922643"	"4.62389457426156"	"0.485387533887101"	"3.71705792953744"	"5.75196874495472"	"7.58545452988415"	"0.192508035546321"	"7.19549328557611"	"7.99654980434509"	"10.0191874417056"	"0.441965261185767"	"9.14096818727769"	"10.9817816816981"
"16"	"GP2-4_47"	"0.80463934092244"	"0.721469213399548"	"0.887809468445332"	"5.94897462045646"	"0.265914151776331"	"5.42090017622896"	"6.52849118860815"	"7.88453270512129"	"0.0928256721903545"	"7.6938351569822"	"8.07995683683338"	"9.23736029648678"	"0.187716006692985"	"8.85511729561821"	"9.63610332856165"
"17"	"GP2-4_49"	"0.80463934092244"	"0.721469213399548"	"0.887809468445332"	"5.94897462045646"	"0.265914151776331"	"5.42090017622896"	"6.52849118860815"	"7.88453270512129"	"0.0928256721903545"	"7.6938351569822"	"8.07995683683338"	"9.23736029648678"	"0.187716006692985"	"8.85511729561821"	"9.63610332856165"
"18"	"GP2-4_51"	"0.815301921016575"	"0.580294349197225"	"1.05030949283593"	"5.80755907827371"	"0.61475735677534"	"4.66003744156119"	"7.23765481942995"	"7.81501259005659"	"0.265106710794739"	"7.28269041429422"	"8.38624441083863"	"9.23449477906914"	"0.51745667919902"	"8.2187189042779"	"10.3758134105631"
"19"	"GP2-4_52"	"0.827041452933993"	"0.751402647534591"	"0.902680258333395"	"4.49214133490197"	"0.420060031311596"	"3.69826894704084"	"5.45642679364391"	"7.28131347612913"	"0.162365672570132"	"6.95136508572502"	"7.6269229545336"	"9.55273199512159"	"0.330053535534285"	"8.89042701367047"	"10.2643763263903"
"20"	"GP2-4_54"	"0.618204836508059"	"0.469486068943897"	"0.766923604072221"	"7.25788293758175"	"0.357068664802165"	"6.55204145241173"	"8.03976365507433"	"8.4818830284812"	"0.112275284325418"	"8.2515782505744"	"8.71861570286016"	"9.25850736422069"	"0.189485566809"	"8.87271868215647"	"9.66107026313326"
"21"	"GP2-4_55"	"0.829075820908405"	"0.752033071561369"	"0.906118570255441"	"6.33620812146032"	"0.17191133001159"	"5.98859779956001"	"6.70399561002566"	"7.96703124408115"	"0.0630631357242264"	"7.83695779425796"	"8.09926358039999"	"9.0617803750722"	"0.133161623531826"	"8.78904420410987"	"9.34297992580868"
"22"	"GP2-4_56"	"0.216952728071756"	"-2.47000610262533"	"2.90391155876884"	"8.47900430896758"	"1.24031636490751"	"6.2550256567266"	"11.4937200927669"	"8.76664039315156"	"0.410634463862722"	"7.95295333486842"	"9.66357786180925"	"8.93260318981749"	"0.125428013232509"	"8.67553299000982"	"9.19729079914977"
"23"	"GP2-4_57"	"0.883236100546972"	"0.826140310673781"	"0.940331890420164"	"4.74150380188281"	"0.233229488234977"	"4.28045951815596"	"5.25220673339164"	"7.21050980265767"	"0.0946830520614682"	"7.01626983428691"	"7.41012715334179"	"9.1265831279385"	"0.199942020453732"	"8.7201105749075"	"9.55200268111914"
"24"	"GP2-4_58"	"0.883236100546972"	"0.826140310673781"	"0.940331890420164"	"4.74150380188281"	"0.233229488234977"	"4.28045951815596"	"5.25220673339164"	"7.21050980265767"	"0.0946830520614682"	"7.01626983428691"	"7.41012715334179"	"9.1265831279385"	"0.199942020453732"	"8.7201105749075"	"9.55200268111914"
"25"	"GP2-4_61"	"0.626266777941131"	"0.570206580368275"	"0.682326975513986"	"6.4597228726532"	"0.191768455911806"	"6.0729795656699"	"6.8710950103248"	"8.35575175439985"	"0.0624528998993878"	"8.22687801052797"	"8.48664430076744"	"9.65649996319054"	"0.140343948398478"	"9.36900529699811"	"9.95281660999553"
"26"	"GP2-4_63"	"0.608814016347721"	"0.514067858782853"	"0.703560173912589"	"5.96778205300143"	"0.372644490092307"	"5.24103300179788"	"6.79530592917634"	"8.32192955310462"	"0.133567813609608"	"8.04874462604696"	"8.60438673413962"	"10.0324506380427"	"0.322172556742833"	"9.38433834521381"	"10.7253236298857"
