Strain	Seq_ID	DNA_ID	Running_ID	Site	Core	Approx.Age	Species	Date_isolated	Isolater	Growth_Rate	Biovolume	Comments
GP_2-4_26	P14203_101	GP_2-4_26	GP_01	Gropviken	GP2-C	2014	S. marinoi	2018-09-28	Bjorn	1.396824094	208.9244792	na
GP_2-4_27	P14203_102	GP_2-4_27	GP_02	Gropviken	GP2-C	2014	S. marinoi	2018-09-28	Bjorn	1.529346538	377.5001628	Boosted growth at low Cu concentrations
GP_2-4_28	P14203_103	GP_2-4_28	GP_03	Gropviken	GP2-C	2014	S. marinoi	2018-09-28	Bjorn	1.288277655	399.0927734	na
GP_2-4_29	P14203_104	GP_2-4_29b	GP_04	Gropviken	GP2-C	2014	S. marinoi	2018-09-28	Bjorn	1.298249253	138.6015625	The Cu treatment revived this strain (also recovered in DNA samples)
GP_2-4_31	P14203_105	GP_2-4_31	GP_05	Gropviken	GP2-C	2014	S. marinoi	2018-09-28	Bjorn	1.369029697	125.5948893	Boosted growth at low Cu concentrations
GP_2-4_32	P14203_106	GP_2-4_32a	GP_06	Gropviken	GP2-C	2014	S. marinoi	2018-09-28	Bjorn	1.327307919	201.7184245	Boosted growth at low Cu concentrations
GP_2-4_39	P14203_107	GP_2-4_39	GP_08	Gropviken	GP2-C	2014	S. marinoi	2018-09-28	Bjorn	1.402814909	434.535319	na
GP_2-4_40	P14203_108	GP_2-4_40	GP_09	Gropviken	GP2-C	2014	S. marinoi	2018-09-28	Bjorn	1.398766912	222.2122396	na
GP_2-4_42	P14203_109	GP_2-4_42b	GP_11	Gropviken	GP2-C	2014	S. marinoi	2018-09-28	Bjorn	0.408609638	128.4313151	Low growth in both controls (revived in DNA cultures) Still low for DNA extraction 
GP_2-4_43	P14203_110	GP_2-4_43	GP_12	Gropviken	GP2-C	2014	S. marinoi	2018-09-28	Bjorn	1.426613919	297.7224935	na
GP_2-4_44	P14203_111	GP_2-4_44a	GP_13	Gropviken	GP2-C	2014	S. marinoi	2018-09-28	Bjorn	1.305513755	131.344401	Boosted growth at low Cu concentrations. Still low for DNA extraction. Poor coverage in Seq batch 1.
