Comments;Population;Plate ID;Strain;Running ID;Incubation_Position;Light_Intensity;Wait_time;RO5_Growth_Rate;Growth_Rate;SD_Grpwth_Rate';pH;FvFm;Start_Density;Pre_Density;drc_Normalization;Start_density;Relative_Start_Density;Biovolume;Surfacearea;Surface_Vol_ratio;Diameter;Diamter_Length_ratio
;GP;GP_1;GP2to4_26;GP_1;G6;168;4.5;1.332759775;1.407856773;0.205997207;7.99;0.62;0.003191346;0.235907091;Normal;21.33928571;4.095621626;208.9244792;193.30625;0.925244618;5;0.775
Boosted growth at low Cu concentrations;GP;GP_2;GP2to4_27;GP_2;G5;176;4.566666667;1.395082233;1.529346538;0.166356683;7.98;0.67;0.004664418;0.209204268;Low;17.85714286;3.427298432;377.5001628;283.090625;0.749908617;5.9375;0.733571429
;GP;GP_3;GP2to4_28;GP_3;D2;186;4.633333333;1.400548033;1.504818524;0.048417182;7.99;0.65;0.002875531;0.171255571;Normal;12.55952381;2.410533231;399.0927734;298.790625;0.748674606;6;0.695059524
The Cu treatment revived this strain (also recovered in DNA samples)';GP;GP_4;GP2to4_29;GP_4;A1;170;4.7;1.381327366;1.298249253;0.084713533;7.96;0.65;0.003657715;0.151564851;Low;25.625;4.91817325;138.6015625;166.0765625;1.198230088;3.5625;0.357827381
Boosted growth at low Cu concentrations;GP;GP_5;GP2to4_31;GP_5;A7;181;4.766666667;1.360107145;1.149735581;0.180116007;7.97;0.64;0.004109117;0.350724251;Normal;17.05357143;3.273070003;125.5948893;154.3015625;1.228565615;3.5;0.39375
Boosted growth at low Cu concentrations;GP;GP_6;GP2to4_32;GP_6;A8;165;4.833333333;1.427749856;1.169317308;0.179287326;7.88;0.63;0.00310282;0.172140171;Normal;12.85714286;2.467654871;201.7184245;196.25;0.972890803;4.625;0.57125
;GP;GP_7;GP2to4_71;GP_7;B1;172;4.9;1.317951488;0.778128553;0.401249668;8.01;0.66;0.003848322;0.215060811;Normal;22.14285714;4.249850056;162.1362305;173.4359375;1.069692671;4.125;0.492291667
;GP;GP_8;GP2to4_39;GP_8;B2;181;4.966666667;1.430498652;1.484476775;0.090081457;7.99;0.65;0.003624119;0.400669051;Normal;9.866071429;1.893582384;434.535319;313.509375;0.721481917;6.3125;0.714583333
;GP;GP_9;GP2to4_40;GP_9;B7;183;5.033333333;1.338584216;1.324608547;0.135216973;8.01;0.62;0.002472355;0.351796491;Normal;15.98214286;3.067432097;222.2122396;198.2125;0.89199632;5.125;0.77
;GP;GP_10;GP2to4_72;GP_10;B8;167;5.1;1.398114407;1.579373478;0.073072007;7.94;0.63;0.002902517;0.167419331;Normal;15.17857143;2.913203667;260.1334635;239.1796875;0.919449902;4.8125;0.478809524
