	Gene	Mean	N	sd	High	Low	Gene2
1	augustus_masked-Sm_000000F-processed-gene-19.38-mRNA-1	0.982798906	56	0.081385347	1.004550055	0.961047757	augustus_masked-Sm_000000F-processed-gene-19.38-mRNA-1
2	augustus_masked-Sm_000003F-processed-gene-1.63-mRNA-1	1.131482692	56	0.561526174	1.281556874	0.981408509	augustus_masked-Sm_000003F-processed-gene-1.63-mRNA-1
3	augustus_masked-Sm_000017F-processed-gene-5.128-mRNA-1	1.190113329	56	0.456265221	1.312055338	1.068171319	augustus_masked-Sm_000017F-processed-gene-5.128-mRNA-1
4	augustus_masked-Sm_000017F-processed-gene-5.129-mRNA-1	0.52110011	56	0.165252181	0.565265613	0.476934607	augustus_masked-Sm_000017F-processed-gene-5.129-mRNA-1
5	augustus_masked-Sm_000037F-processed-gene-5.2-mRNA-1	1.00195689	56	0.314545006	1.086022578	0.917891201	augustus_masked-Sm_000037F-processed-gene-5.2-mRNA-1
6	augustus_masked-Sm_000091F-processed-gene-0.10-mRNA-1	3.981578094	56	1.612274564	4.412476596	3.550679592	augustus_masked-Sm_000091F-processed-gene-0.10-mRNA-1
7	augustus_masked-Sm_000091F-processed-gene-0.19-mRNA-1	2.236068348	56	0.861455232	2.466301943	2.005834752	augustus_masked-Sm_000091F-processed-gene-0.19-mRNA-1
8	augustus_masked-Sm_000091F-processed-gene-0.9-mRNA-1	0.98251178	56	0.264439387	1.053186179	0.911837381	augustus_masked-Sm_000091F-processed-gene-0.9-mRNA-1
9	genemark-Sm_000002F-processed-gene-3.20-mRNA-1	0.974483873	56	0.118013882	1.00602441	0.942943337	genemark-Sm_000002F-processed-gene-3.20-mRNA-1
10	genemark-Sm_000011F-processed-gene-7.63-mRNA-1	1.029549251	56	0.095749024	1.055139254	1.003959248	genemark-Sm_000011F-processed-gene-7.63-mRNA-1
11	genemark-Sm_000025F-processed-gene-6.14-mRNA-1	0.797426234	56	0.245341093	0.862996399	0.731856068	genemark-Sm_000025F-processed-gene-6.14-mRNA-1
12	genemark-Sm_000025F-processed-gene-7.165-mRNA-1	1.276916799	56	0.243385943	1.341964429	1.21186917	genemark-Sm_000025F-processed-gene-7.165-mRNA-1
13	genemark-Sm_000029F-abinit-gene-7.104-mRNA-1	1.07977446	56	0.102032782	1.107043868	1.052505052	genemark-Sm_000029F-abinit-gene-7.104-mRNA-1
14	genemark-Sm_000054F-processed-gene-0.5-mRNA-1	1.315585893	56	0.314114572	1.399536543	1.231635242	genemark-Sm_000054F-processed-gene-0.5-mRNA-1
15	genemark-Sm_000091F-processed-gene-0.100-mRNA-1	1.382184058	56	0.470716808	1.507988417	1.2563797	genemark-Sm_000091F-processed-gene-0.100-mRNA-1
16	genemark-Sm_000091F-processed-gene-0.98-mRNA-1	3.526607647	56	1.301338748	3.874405057	3.178810238	genemark-Sm_000091F-processed-gene-0.98-mRNA-1
17	maker-Sm_000000F-augustus-gene-20.115-mRNA-1	0.991588318	56	0.073382553	1.01120063	0.971976006	maker-Sm_000000F-augustus-gene-20.115-mRNA-1
18	maker-Sm_000003F-snap-gene-2.76-mRNA-1	2.374298853	56	1.167524983	2.686333029	2.062264676	maker-Sm_000003F-snap-gene-2.76-mRNA-1
19	maker-Sm_000030F-snap-gene-1.6-mRNA-1	0.867533216	56	0.099874488	0.894225796	0.840840636	maker-Sm_000030F-snap-gene-1.6-mRNA-1
20	Sm_mito_g00002	11.30038093	56	3.56690364	12.25367603	10.34708583	Sm_mito_g00002
21	Sm_t00000096-RA	0.898907596	56	0.086764374	0.922096351	0.875718842	Sm_t00000096-RA
22	Sm_t00000203-RA	0.652907867	56	0.078585265	0.673910663	0.631905071	Sm_t00000203-RA
23	Sm_t00000203-RAa	0.359966192	56	0.182567893	0.408759514	0.31117287	Sm_t00000203-Raa
24	Sm_t00000203-RAaa	0.359992199	56	0.337295224	0.45013814	0.269846259	Sm_t00000203-RAaa
25	Sm_t00000203-Raac	0.200161591	56	0.105692976	0.228409227	0.171913954	Sm_t00000203-Raac
26	Sm_t00000271-RA	0.979795666	56	0.096805069	1.005667909	0.953923423	Sm_t00000271-RA
27	Sm_t00000776-RA	1.102300232	56	0.116247094	1.133368575	1.071231889	Sm_t00000776-RA
28	Sm_t00000816-RA	0.959234715	56	0.122057541	0.991855965	0.926613465	Sm_t00000816-RA
29	Sm_t00001449-RA	1.073958428	56	0.087039991	1.097220844	1.050696012	Sm_t00001449-RA
30	Sm_t00001545-RA	1.093055017	56	0.068128478	1.111263118	1.074846915	Sm_t00001545-RA
31	Sm_t00001624-RA	1.025030766	56	0.097190688	1.05100607	0.999055462	Sm_t00001624-RA
32	Sm_t00001766-RA	0.917816503	56	0.093445141	0.942790767	0.892842238	Sm_t00001766-RA
33	Sm_t00002559-RA	0.901190398	56	0.118732264	0.93292293	0.869457865	Sm_t00002559-RA
34	Sm_t00002700-RA	0.901941153	56	0.101916337	0.92917944	0.874702866	Sm_t00002700-RA
35	Sm_t00002911-RA	0.944571842	56	0.123654164	0.977619808	0.911523877	Sm_t00002911-R
36	Sm_t00003559-RA	1.012886783	56	0.083995289	1.035335468	0.990438097	Sm_t00003559-RA
37	Sm_t00003600-RA	0.80567879	56	0.133976622	0.841485548	0.769872032	Sm_t00003600-RA
38	Sm_t00003600-RAa	1.234761267	56	0.138975305	1.271903979	1.197618554	Sm_t00003600-Raa
39	Sm_t00004040-RA	0.255520266	56	0.316411387	0.340084767	0.170955766	Sm_t00004040-RA
40	Sm_t00004185-RA	0.992416649	56	0.193623892	1.044164811	0.940668487	Sm_t00004185-RA
41	Sm_t00004482-RA	1.050461929	56	0.110655288	1.080035799	1.020888059	Sm_t00004482-RA
