Gene	Putative_identity	Putative_identity_INDEX	Ortholog	Support	Homolog	Cu_function	Cu relevance	INDEL corrected?
Sm_t00008887-RA	 copper ion binding	 copper ion binding_C15	NA	Nucleotide, aa, and functional domains	Thaps3_10616: Sm_t00002911-R	GOterm Copper	Not sure what the connection is.	0
Sm_t00002911-RA	 copper ion binding	 copper ion binding_C3	NA	Nucleotide, aa, and functional domains	Thaps3_10616: Sm_t00008887-RA	GOterm Copper	Not sure what the connection is.	0
Sm_t00013510-RA	Acyl carrier protein/NADH-ubiquinone oxidoreductase, NDUFAB1/SDAP subuni	NADH-ubiquinone oxidoreductase_C24	Thaps3_33574	Nucleotide, aa, and functional domains	Thaps3_33574	GOterm Copper	Very littel if any	0
Sm_t00011290-RA	Ascorbate-dependent monooxygenase	Ascorbate-dependent monooxygenase_C20	c15002_g3_i1	Nucleotide, aa, and functional domains	c15002_g3_i1	Cu containing	Somewhat interesting	2
Sm_t00000776-RA	Copper chaperone	Copper chaperone_C0	Thaps3_4225	Nucleotide, aa, and functional domains	Thaps3_4225	KOG Copper	Some, but only In silico predictions without functional domains	5
genemark-Sm_000002F-processed-gene-3.20-mRNA-1	Copper chaperone	Copper chaperone_C2	NA	aa	Thaps3_24719	KOG Copper	Some, but only In silico predictions without functional domains	3
TRINITY_DN3598_c0_g2_i2	copper ion binding	Copper ion binding_C8		aa and functional domains	Thaps3_6536	GOterm Copper	Not sure what the connection is.	0
Sm_t00004482-RA	COX11, Cu chaperone 	Cu chaperone (COX11)_2	Thaps3_37139	Nucleotide, aa, and functional domains	Thaps3_TpCOX11Ê|37139	Copper transport system	High, manual annotation based on homology by Gau et al 2015	0
Sm_t00012279-RA	COX17, Cu chaperone	Cu chaperone (COX17)_C30	NA	Nucleotide, aa, and functional domains	Thaps3_TpCOX17Ê|264096: Sm_t00014498-RA	Copper transport system	High, manual annotation based on homology by Gau et al 2015	0
Sm_t00014498-RA	COX17,Cu chaperone	Cu chaperone (COX17)_C34	NA	Nucleotide, aa, and functional domains	Thaps3_TpCOX17Ê|264096: Sm_t00012279-RA	Copper transport system	High, manual annotation based on homology by Gau et al 2015	0
Sm_t00001449-RA	Cu-transporting P1B-type ATPases	Cu-transporting P1B-type ATPases_C1	Thaps3_263051	Nucleotide, aa, and functional domains	Thaps3_TpCTPÊ|263051: Sm_t00008820-RA	Copper transport system	Very high, manual annotation based on homology by Gau et al 2015	0
Sm_t00008820-RA	Cu-transporting P1B-type ATPases	Cu-transporting P1B-type ATPases_C15	Thaps3_264357	Nucleotide, aa, and functional domains	Thaps3_TpCTPÊ|264357: Sm_t00001449-RA	Copper transport system	Very high, manual annotation based on homology by Gau et al 2015	0
snap_masked-Sm_000102F-processed-gene-0.175-mRNA-1a	cue5_4_homolog	Cue5-4_homolog_C102		Nucleotide, aa	cue5_DQ115009 and cue4_DQ115008	Toxic Cu stress	High, modest transcriptional increase under toxic Cu stress	0
augustus_masked-Sm_000017F-processed-gene-5.128-mRNA-1	cue5_4_homolog	Cue5-4_homolog_C17		Nucleotide, aa	cue5_DQ115009 and cue4_DQ115008	Toxic Cu stress	High, modest transcriptional increase under toxic Cu stress	0
augustus_masked-Sm_000017F-processed-gene-5.129-mRNA-1	cue5_4_homolog	Cue5-4_homolog_C17		Nucleotide, aa	cue5_DQ115009 and cue4_DQ115008	Toxic Cu stress	High, modest transcriptional increase under toxic Cu stress	0
genemark-Sm_000025F-processed-gene-6.14-mRNA-1	cue5_4_homolog	Cue5-4_homolog_C25		Nucleotide, aa	cue5_DQ115009 and cue4_DQ115008	Toxic Cu stress	High, modest transcriptional increase under toxic Cu stress	0
genemark-Sm_000025F-processed-gene-7.165-mRNA-1	cue5_4_homolog	Cue5-4_homolog_C25		Nucleotide, aa	cue5_DQ115009 and cue4_DQ115008	Toxic Cu stress	High, modest transcriptional increase under toxic Cu stress	0
