Gene	Model mean	Model median	Contig mean	Contig median
Genome	1963.9482641543634	1924.0	-	-
augustus_masked-Sm_000000F-processed-gene-19.38-mRNA-1	2000.460296602215	2022	1891.2812424672122	1943.0
augustus_masked-Sm_000003F-processed-gene-1.63-mRNA-1	1838.0371024734982	1874.0	1820.9891547902648	1894
augustus_masked-Sm_000017F-processed-gene-5.128-mRNA-1	1647.8423076923077	1695.5	1868.849303703854	1945
augustus_masked-Sm_000017F-processed-gene-5.129-mRNA-1	2196.200258397933	2195.0	1868.849303703854	1945
augustus_masked-Sm_000037F-processed-gene-5.2-mRNA-1	1072.8440677966103	1065	1814.030625687017	1841.0
augustus_masked-Sm_000091F-processed-gene-0.10-mRNA-1	5839.652394775037	6954.0	2167.3024317010054	1912.0
augustus_masked-Sm_000091F-processed-gene-0.19-mRNA-1	5454.908930150309	6048	2167.3024317010054	1912.0
augustus_masked-Sm_000091F-processed-gene-0.9-mRNA-1	2458.069339111593	2339.0	2167.3024317010054	1912.0
genemark-Sm_000002F-processed-gene-3.20-mRNA-1	1876.9820985954282	1869	1882.4557255943664	1892.0
genemark-Sm_000011F-processed-gene-7.63-mRNA-1	2752.1049250535334	2720.5	2487.205814555239	2797.0
genemark-Sm_000025F-processed-gene-6.14-mRNA-1	1388.0595238095239	1345.5	1752.3103938186614	1892.0
genemark-Sm_000025F-processed-gene-7.165-mRNA-1	2063.015332197615	2200.5	1752.3103938186614	1892.0
genemark-Sm_000029F-abinit-gene-7.104-mRNA-1	1905.178970307818	1917	1894.4443057244607	1912
genemark-Sm_000054F-processed-gene-0.5-mRNA-1	1771.476851851852	1917.0	2390.224633466746	2023.0
genemark-Sm_000091F-processed-gene-0.100-mRNA-1	3185.1868811881186	3370.5	2167.3024317010054	1912.0
genemark-Sm_000091F-processed-gene-0.98-mRNA-1	7610.543323863636	7817.0	2167.3024317010054	1912.0
maker-Sm_000000F-augustus-gene-20.115-mRNA-1	1921.9262657152565	1926	1891.2812424672122	1943.0
maker-Sm_000003F-snap-gene-2.76-mRNA-1	2965.067281105991	2849	1820.9891547902648	1894
maker-Sm_000030F-snap-gene-1.6-mRNA-1	1911.4111570247933	1928.0	1319.9494754898215	1023
Sm_mito_g00002	7907.154357950765	7928	7909.199123571789	7941.0
Sm_t00000096-RA	1905.0671557562077	1916.0	1891.2812424672122	1943.0
Sm_t00000203-RA	1683.8523524824539	1778	1891.2812424672122	1943.0
Sm_t00000203-RAa	1107.3003472222222	1094.5	1891.2812424672122	1943.0
Sm_t00000203-RAaa	1261.891393442623	1277.5	1891.2812424672122	1943.0
Sm_t00000203-Raac	1374.091463414634	1353.5	1891.2812424672122	1943.0
Sm_t00000271-RA	1877.7930889169827	1882	1891.2812424672122	1943.0
Sm_t00000776-RA	1843.748975409836	1794.0	1891.2812424672122	1943.0
Sm_t00000816-RA	1809.6714060031595	1887.5	1891.2812424672122	1943.0
Sm_t00001449-RA	1900.5635845635845	1944	1786.9362198942265	1904
Sm_t00001545-RA	1919.2428531779074	1928	1786.9362198942265	1904
Sm_t00001624-RA	1794.1492329149232	1832.0	1786.9362198942265	1904
Sm_t00001766-RA	1759.6488439306358	1862.0	1786.9362198942265	1904
Sm_t00002559-RA	2039.0411622276029	2039	2058.8062440909753	1951.0
Sm_t00002700-RA	1853.5315818893237	1948	2058.8062440909753	1951.0
Sm_t00002911-RA	1932.403453689168	1936.0	1820.9891547902648	1894
Sm_t00003559-RA	2026.053432413305	2043.0	2123.218737043464	2036.0
Sm_t00003600-RA	1314.8700964630225	1278	2123.218737043464	2036.0
Sm_t00003600-RAa	2194.898224043716	2237.5	2123.218737043464	2036.0
Sm_t00004040-RA	2842.6889067524116	2830.0	2123.218737043464	2036.0
Sm_t00004185-RA	1805.9204339963833	1820.0	1882.4557255943664	1892.0
Sm_t00004482-RA	1916.4070707070707	1919.5	1882.4557255943664	1892.0
Sm_t00004508-RA	1874.0577489687685	2010	1882.4557255943664	1892.0
Sm_t00004732-RA	781.9387911247131	852	1786.0588197194063	1921
Sm_t00004754-RA	1899.4321243523316	1909.0	1786.0588197194063	1921
Sm_t00005069-RA	1887.2700650759218	1880.0	1786.0588197194063	1921
Sm_t00005265-RA	2353.171108917407	2036	1816.4028642590285	1886.0
Sm_t00005368-RA	1922.3425692695214	1953	1816.4028642590285	1886.0
Sm_t00005717-RA	2675.9871718965856	2071	1816.4028642590285	1886.0
Sm_t00006068-RA	2927.408583186361	2943	2487.205814555239	2797.0
Sm_t00007019-RA	1798.2706409918228	1867	1662.2622683016557	1830
Sm_t00007046-RA	2002.363813229572	2028.0	1662.2622683016557	1830
Sm_t00007131-RA	2012.673397717296	2027.0	1662.2622683016557	1830
Sm_t00007630-RA	2922.1434854315557	2990	2701.530973907026	2841
Sm_t00007701-RA	3125.7067206192824	2945.0	2701.530973907026	2841
Sm_t00007798-RA	1825.0889570552147	1837.0	1890.0451045341933	1909
Sm_t00007834-RA	1780.04898828541	1838	1890.0451045341933	1909
Sm_t00007866-RAa	2111.324087591241	2168	1890.0451045341933	1909
Sm_t00008820-RA	1973.8265682656827	1965.0	1857.4989378186842	1922
Sm_t00008887-RA	2440.973033707865	2087	1857.4989378186842	1922
Sm_t00009095-RA	2128.650436953808	2180	1861.1035034281947	1929
Sm_t00009272-RA	1860.5139043381535	1919.0	1861.1035034281947	1929
Sm_t00009273-RA	1939.3422556390979	1949	1861.1035034281947	1929
Sm_t00009617-RA	1852.1999125109362	1888.0	1975.3639998853614	1936.0
Sm_t00009882-RA	1961.0143725815367	1991.0	1872.7864647351478	1895.0
Sm_t00010479-RA	1924.0366678533285	1954	1868.849303703854	1945
Sm_t00010759-RA	1938.6830324909747	1920	1749.9652197273556	1880.0
Sm_t00011072-RA	1834.1226017781937	1823	1746.6256834116507	1846.0
Sm_t00011279-RA	1435.5494159928123	1484.0	1859.8461768286043	1893
Sm_t00011280-RA	1477.4645227156714	1468	1859.8461768286043	1893
Sm_t00011281-RA	1429.9588068181818	1373.0	1859.8461768286043	1893
Sm_t00011290-RA	1998.6440922190202	2013.0	1859.8461768286043	1893
Sm_t00011531-RA	1840.8705583756346	1849.0	1859.8461768286043	1893
Sm_t00012102-RA	1608.1770833333333	1759.0	1869.286277960773	1929.0
Sm_t00012258-RA	1999.238418079096	2024.0	1319.9494754898215	1023
Sm_t00012279-RA	1031.2950495049504	1024	1319.9494754898215	1023
Sm_t00012684-RA	1847.5470967741935	1859	1894.4443057244607	1912
Sm_t00013038-RA	1892.7476274165201	1904	1813.1015722682916	1938.0
Sm_t00013427-RA	1896.6959517657192	1923	1979.9666571213174	1936
Sm_t00013510-RA	1978.5366876310272	2049.0	1979.9666571213174	1936
Sm_t00014412-RA	1673.5450254175744	1735.0	1846.7203009109298	1881.0
Sm_t00014438-RA	1034.6849957374254	1023.0	1846.7203009109298	1881.0
Sm_t00014498-RA	987.7758620689655	989.0	1772.5789298392513	1858.0
Sm_t00014831-RA	2216.234821876568	2076.0	1814.030625687017	1841.0
Sm_t00014838-RA	2069.5867407701467	2160	1814.030625687017	1841.0
Sm_t00016646-RA	2106.0535583272194	2079	2117.999130735277	2248.0
Sm_t00017696-RA	1022.4863167339614	1012	1774.9845218333362	1747
Sm_t00018447-RA	2029.8465286236296	2048.0	1850.0601483805524	1933.0
Sm_t00018460-RA	1196.0715287517532	1129.5	1850.0601483805524	1933.0
Sm_t00018630-RA	3898.740008240626	3941	2041.325489979471	1871
Sm_t00019220-RA	2033.5061199510403	2129.5	1804.4386412103504	1923
snap_masked-Sm_000001F-processed-gene-6.55-mRNA-1	1964.0368580060424	1983	1786.9362198942265	1904
snap_masked-Sm_000037F-processed-gene-5.87-mRNA-1	1753.5795541890852	1906	1814.030625687017	1841.0
snap_masked-Sm_000102F-processed-gene-0.175-mRNA-1a	2302.008337420304	2358	1752.7760692942993	1534.0
TRINITY_DN3598_c0_g2_i2	2922.172746781116	2932.5	2701.530973907026	2841
TRINITY_DN3625_c1_g2_i1	1902.5927152317881	1928.0	1786.9362198942265	1904
TRINITY_DN7103_c0_g2_i1	1822.2225695529853	1802	2058.8062440909753	1951.0
