Gene	Putative_identity	Ortholog	Support	Homolog	Cu_function	Model_comment	Cu relevance	INDEL corrected?	Gene2
augustus_masked-Sm_000000F-processed-gene-19.38-mRNA-1	metallopeptidase activity		aa, and some functional domains	Thaps3_23419	Cu binding	Strong support based on transcription. Possibly alternative splicing, with homology domain in first exon. 	Somewhat interesting	0	augustus_masked-Sm_000000F-processed-gene-19.38-mRNA-1
augustus_masked-Sm_000003F-processed-gene-1.63-mRNA-1	Unknown		Nucelotide, aa	cue5_DQ115009 and cue4_DQ115008	Toxic Cu stress	Good but Could be chimeric with two models, or an inverted repeate. Homolgy domain is in second exon on opposite reading frame. There are a few heterozygus INDELS.	High, modest transcriptional increase under toxic Cu stress	0	augustus_masked-Sm_000003F-processed-gene-1.63-mRNA-1
augustus_masked-Sm_000017F-processed-gene-5.128-mRNA-1	Unknown		Nucelotide, aa	cue5_DQ115009 and cue4_DQ115008	Toxic Cu stress	Weak support, no transcription mapped here	High, modest transcriptional increase under toxic Cu stress	0	augustus_masked-Sm_000017F-processed-gene-5.128-mRNA-1
augustus_masked-Sm_000017F-processed-gene-5.129-mRNA-1	Unknown		Nucelotide, aa	cue5_DQ115009 and cue4_DQ115008	Toxic Cu stress	Weak support, no transcription mapped here	High, modest transcriptional increase under toxic Cu stress	0	augustus_masked-Sm_000017F-processed-gene-5.129-mRNA-1
augustus_masked-Sm_000037F-processed-gene-5.2-mRNA-1	Unknown		Nucelotide, aa	cue5_DQ115009 and cue4_DQ115008	Toxic Cu stress	Weak support, Transcript overlapps with potentially second copy and other gene.	High, modest transcriptional increase under toxic Cu stress	0	augustus_masked-Sm_000037F-processed-gene-5.2-mRNA-1
augustus_masked-Sm_000091F-processed-gene-0.10-mRNA-1	Unknown		Nucelotide, aa	cue5_DQ115009 and cue4_DQ115008	Toxic Cu stress	Weak support, Transcript overlapps with potentially 3 other copy and possible other gene.	High, modest transcriptional increase under toxic Cu stress	0	augustus_masked-Sm_000091F-processed-gene-0.10-mRNA-1
augustus_masked-Sm_000091F-processed-gene-0.19-mRNA-1	Unknown		Nucelotide, aa	cue5_DQ115009 and cue4_DQ115008	Toxic Cu stress	Weak support, Transcript overlapps with potentially 3 other copy and possible other gene.	High, modest transcriptional increase under toxic Cu stress	0	augustus_masked-Sm_000091F-processed-gene-0.19-mRNA-1
augustus_masked-Sm_000091F-processed-gene-0.9-mRNA-1	Unknown		Nucelotide, aa	cue5_DQ115009 and cue4_DQ115008	Toxic Cu stress	Weak support, Transcript overlapps with potentially 3 other copy and possible other gene.	High, modest transcriptional increase under toxic Cu stress	0	augustus_masked-Sm_000091F-processed-gene-0.9-mRNA-1
genemark-Sm_000002F-processed-gene-3.20-mRNA-1	Copper chaperone	NA	aa	Thaps3_24719	KOG Copper	Good transcription support but the reading frame may be artificaly shorten by IN/DELs. Fixed them and the readingframe, but still heterozygos codon insertions and deletions seen.	Some, but only In silico predictions without functional domains	3	genemark-Sm_000002F-processed-gene-3.20-mRNA-1
genemark-Sm_000011F-processed-gene-7.63-mRNA-1	Acyl carrier protein/NADH-ubiquinone oxidoreductase, NDUFAB1/SDAP subunit	Thaps3_262796	Nucelotide, aa, and functional domains	Thaps3_262796	GOterm Copper	Strong support, functional domain translated intact. Possible heterozygos allel with IN/DELs close to start codon	Very littel if any	0	genemark-Sm_000011F-processed-gene-7.63-mRNA-1
genemark-Sm_000025F-processed-gene-6.14-mRNA-1	Unknown		Nucelotide, aa	cue5_DQ115009 and cue4_DQ115008	Toxic Cu stress	Strong support for model based on transcription, and the functional domain conserved across the reading frame. No conserved domains. Identical copy based on aa	High, modest transcriptional increase under toxic Cu stress	0	genemark-Sm_000025F-processed-gene-6.14-mRNA-1
genemark-Sm_000025F-processed-gene-7.165-mRNA-1	Unknown		Nucelotide, aa	cue5_DQ115009 and cue4_DQ115008	Toxic Cu stress	Strong support for model based on transcription, and the functional domain conserved across the reading frame. No conserved domains. Identical copy based on aa	High, modest transcriptional increase under toxic Cu stress	0	genemark-Sm_000025F-processed-gene-7.165-mRNA-1
