Gene	Model mean	Model median	Contig mean	Contig median
Genome	55.94812472417369	51.0	-	-
augustus_masked-Sm_000000F-processed-gene-19.38-mRNA-1	56.76065327576497	58	55.852484674136555	54.0
augustus_masked-Sm_000003F-processed-gene-1.63-mRNA-1	88.34098939929329	94.0	53.89001044844736	52
augustus_masked-Sm_000017F-processed-gene-5.128-mRNA-1	50.61730769230769	48.5	53.67081814268595	53
augustus_masked-Sm_000017F-processed-gene-5.129-mRNA-1	21.958656330749353	23.0	53.67081814268595	53
augustus_masked-Sm_000037F-processed-gene-5.2-mRNA-1	53.02937853107345	53	51.232076492244346	41.0
augustus_masked-Sm_000091F-processed-gene-0.10-mRNA-1	146.93976777939042	153.0	46.990611974794064	38.0
augustus_masked-Sm_000091F-processed-gene-0.19-mRNA-1	110.67727674624226	119	46.990611974794064	38.0
augustus_masked-Sm_000091F-processed-gene-0.9-mRNA-1	43.62676056338028	37.0	46.990611974794064	38.0
genemark-Sm_000002F-processed-gene-3.20-mRNA-1	53.394657119250894	55	50.8793786342623	51.0
genemark-Sm_000011F-processed-gene-7.63-mRNA-1	62.04496788008565	63.0	50.38278784994345	51.0
genemark-Sm_000025F-processed-gene-6.14-mRNA-1	46.711309523809526	47.0	49.92465496285659	51.0
genemark-Sm_000025F-processed-gene-7.165-mRNA-1	46.93781942078365	49.0	49.92465496285659	51.0
genemark-Sm_000029F-abinit-gene-7.104-mRNA-1	59.146281667120675	62	55.291183342316245	55
genemark-Sm_000054F-processed-gene-0.5-mRNA-1	78.39583333333333	75.5	72.94076251605979	53.0
genemark-Sm_000091F-processed-gene-0.100-mRNA-1	81.95544554455445	77.0	46.990611974794064	38.0
genemark-Sm_000091F-processed-gene-0.98-mRNA-1	170.7237215909091	167.0	46.990611974794064	38.0
maker-Sm_000000F-augustus-gene-20.115-mRNA-1	61.782874617737	64	55.852484674136555	54.0
maker-Sm_000003F-snap-gene-2.76-mRNA-1	98.71152073732719	100	53.89001044844736	52
maker-Sm_000030F-snap-gene-1.6-mRNA-1	41.67493112947658	44.0	35.340955584086814	32
Sm_mito_g00002	647.0359281437126	634	538.1223558023219	527.0
Sm_t00000096-RA	46.80022573363431	49.0	55.852484674136555	54.0
Sm_t00000203-RA	33.4556797504549	37	55.852484674136555	54.0
Sm_t00000203-RAa	15.51388888888889	14.0	55.852484674136555	54.0
Sm_t00000203-RAaa	78.72336065573771	86.0	55.852484674136555	54.0
Sm_t00000203-Raac	9.445121951219512	8.0	55.852484674136555	54.0
Sm_t00000271-RA	61.18078381795196	58	55.852484674136555	54.0
Sm_t00000776-RA	50.935450819672134	57.0	55.852484674136555	54.0
Sm_t00000816-RA	56.47195892575039	56.0	55.852484674136555	54.0
Sm_t00001449-RA	54.759129759129756	56	52.15906134024315	52
Sm_t00001545-RA	60.53177907299472	60	52.15906134024315	52
Sm_t00001624-RA	50.69386331938633	53.0	52.15906134024315	52
Sm_t00001766-RA	53.907514450867055	53.0	52.15906134024315	52
Sm_t00002559-RA	45.36481033091203	44	53.21635294416795	53.0
Sm_t00002700-RA	51.693124650642815	56	53.21635294416795	53.0
Sm_t00002911-RA	51.8469387755102	54.0	53.89001044844736	52
Sm_t00003559-RA	56.40764331210191	56.0	52.58967842562592	54.0
Sm_t00003600-RA	47.14212218649518	48	52.58967842562592	54.0
Sm_t00003600-RAa	62.99658469945355	60.0	52.58967842562592	54.0
Sm_t00004040-RA	1.635048231511254	2.0	52.58967842562592	54.0
Sm_t00004185-RA	54.35533453887884	55.0	50.8793786342623	51.0
Sm_t00004482-RA	59.220202020202024	59.0	50.8793786342623	51.0
Sm_t00004508-RA	47.77312905126694	54	50.8793786342623	51.0
Sm_t00004732-RA	32.584544758990056	31	57.4475135245403	53
Sm_t00004754-RA	52.8139896373057	52.0	57.4475135245403	53
Sm_t00005069-RA	52.084598698481564	54.0	57.4475135245403	53
Sm_t00005265-RA	65.57551826258637	66	49.793862209423	51.0
Sm_t00005368-RA	56.604534005037785	60	49.793862209423	51.0
Sm_t00005717-RA	171.33747779751332	64	49.793862209423	51.0
Sm_t00006068-RA	59.21164021164021	55	50.38278784994345	51.0
Sm_t00007019-RA	58.39514639936692	57	45.03706635478758	45
Sm_t00007046-RA	53.04474708171206	54.0	45.03706635478758	45
Sm_t00007131-RA	58.8459174714662	61.0	45.03706635478758	45
Sm_t00007630-RA	65.65145684442001	65	50.67606116724158	52
Sm_t00007701-RA	72.67083040112597	63.0	50.67606116724158	52
Sm_t00007798-RA	62.484383714445066	63.0	52.39776203875352	53
Sm_t00007834-RA	58.453674121405754	56	52.39776203875352	53
Sm_t00007866-RAa	61.18540145985401	58	52.39776203875352	53
Sm_t00008820-RA	59.660780179230365	60.0	53.16753565153108	52
Sm_t00008887-RA	64.75280898876404	66	53.16753565153108	52
Sm_t00009095-RA	55.62297128589263	59	47.783785938820635	51
Sm_t00009272-RA	59.219132369299224	61.0	47.783785938820635	51
Sm_t00009273-RA	58.0396992481203	58	47.783785938820635	51
Sm_t00009617-RA	50.71259842519685	56.0	50.68385744685425	51.0
Sm_t00009882-RA	57.314262023217246	58.0	52.51077507200838	51.0
Sm_t00010479-RA	60.31933072267711	57	53.67081814268595	53
Sm_t00010759-RA	56.13718411552347	57	54.11189414102036	51.0
Sm_t00011072-RA	56.06083294337857	58	53.48759230252853	51.0
Sm_t00011279-RA	32.72371967654986	28.0	51.5067604360527	52
Sm_t00011280-RA	22.459418070444105	24	51.5067604360527	52
Sm_t00011281-RA	29.428977272727273	28.0	51.5067604360527	52
Sm_t00011290-RA	54.07829010566763	54.0	51.5067604360527	52
Sm_t00011531-RA	60.18781725888325	61.0	51.5067604360527	52
Sm_t00012102-RA	49.157738095238095	52.0	59.31819660804949	52.0
Sm_t00012258-RA	58.3638418079096	60.0	35.340955584086814	32
Sm_t00012279-RA	16.106930693069305	18	35.340955584086814	32
Sm_t00012684-RA	82.98064516129033	84	55.291183342316245	55
Sm_t00013038-RA	61.13497363796134	62	50.569028901567954	52.0
Sm_t00013427-RA	52.79155900086133	54	52.47295997381847	53
Sm_t00013510-RA	46.843815513626836	45.0	52.47295997381847	53
Sm_t00014412-RA	76.81336238198983	81.0	51.102040006874944	52.0
Sm_t00014438-RA	35.613384484228476	37.0	51.102040006874944	52.0
Sm_t00014498-RA	42.608620689655176	43.0	47.646238894848494	47.0
Sm_t00014831-RA	77.99523331660812	72.0	51.232076492244346	41.0
Sm_t00014838-RA	59.70464470027789	62	51.232076492244346	41.0
Sm_t00016646-RA	52.86720469552458	56	54.02941249817419	54.0
Sm_t00017696-RA	54.8492597577389	56	40.86027014275979	39
Sm_t00018447-RA	58.77344701583435	59.0	55.58348470194145	53.0
